Mode,Dof,ControlType,StairNum,Trial,whichStim,NormF,ShearF,NormP,ShearP
1,1,0,0,0,356420919,4.60635,-0.420156,-7.52551,1.1458
1,1,0,0,0,356420919,9.21584,-0.788646,-7.52551,1.1458
1,1,0,0,0,356420919,9.21584,-0.788622,-7.52551,1.1458
1,1,0,0,0,356420919,9.21559,-0.788517,-7.52551,1.1458
1,1,0,0,0,356420919,9.21542,-0.788499,-7.52551,1.1458
1,1,0,0,0,356420919,9.21514,-0.788412,-7.52551,1.1458
1,1,0,0,0,356420919,9.21458,-0.788356,-7.52551,1.1458
1,1,0,0,0,356420919,9.21487,-0.788361,-7.52551,1.1458
1,1,0,0,0,356420919,9.21554,-0.788326,-7.52551,1.1458
1,1,0,0,0,356420919,9.21641,-0.788295,-7.52551,1.1458
1,1,0,0,0,356420919,9.21822,-0.788195,-7.52551,1.1458
1,1,0,0,0,356420919,9.21978,-0.788103,-7.52551,1.1458
1,1,0,0,0,356420919,9.21995,-0.788091,-7.52551,1.1458
1,1,0,0,0,356420919,9.21968,-0.788104,-7.52551,1.1458
1,1,0,0,0,356420919,9.2185,-0.788198,-7.52551,1.1458
1,1,0,0,0,356420919,9.2171,-0.788342,-7.52551,1.1458
1,1,0,0,0,356420919,9.21623,-0.78841,-7.52551,1.1458
1,1,0,0,0,356420919,9.21582,-0.788367,-7.52551,1.1458
1,1,0,0,0,356420919,9.2161,-0.788404,-7.52551,1.1458
1,1,0,0,0,356420919,9.21595,-0.788446,-7.52551,1.1458
1,1,0,0,0,356420919,9.21611,-0.788428,-7.52551,1.1458
1,1,0,0,0,356420919,9.21626,-0.788402,-7.52551,1.1458
1,1,0,0,0,356420919,9.216,-0.788501,-7.52551,1.1458
1,1,0,0,0,356420919,9.21629,-0.788453,-7.52551,1.1458
1,1,0,0,0,356420919,9.21694,-0.788313,-7.52551,1.1458
1,1,0,0,0,356420919,9.21672,-0.788345,-7.52551,1.1458
1,1,0,0,0,356420919,9.21697,-0.788454,-7.52551,1.1458
1,1,0,0,0,356420919,9.21697,-0.788327,-7.52551,1.1458
1,1,0,0,0,356420919,9.21651,-0.78841,-7.52551,1.1458
1,1,0,0,0,356420919,9.21624,-0.788528,-7.52551,1.1458
1,1,0,0,0,356420919,9.21603,-0.78849,-7.52551,1.1458
1,1,0,0,0,356420919,9.21654,-0.788349,-7.52551,1.1458
1,1,0,0,0,356420919,9.21686,-0.788361,-7.52551,1.1458
1,1,0,0,0,356420919,9.21677,-0.788304,-7.52551,1.1458
1,1,0,0,0,356420919,9.21694,-0.788246,-7.52551,1.1458
1,1,0,0,0,356420919,9.2165,-0.788298,-7.52551,1.1458
1,1,0,0,0,356420919,9.21543,-0.78837,-7.52551,1.1458
1,1,0,0,0,356420919,9.21565,-0.788332,-7.52551,1.1458
1,1,0,0,0,356420919,9.21692,-0.788272,-7.52551,1.1458
1,1,0,0,0,356420919,9.21806,-0.788225,-7.52551,1.1458
1,1,0,0,0,356420919,9.21933,-0.788138,-7.52551,1.1458
1,1,0,0,0,356420919,9.22051,-0.788106,-7.52551,1.1458
1,1,0,0,0,356420919,9.2205,-0.788103,-7.52551,1.1458
1,1,0,0,0,356420919,9.21956,-0.788097,-7.52551,1.1458
1,1,0,0,0,356420919,9.21927,-0.788101,-7.52551,1.1458
1,1,0,0,0,356420919,9.21897,-0.788062,-7.52551,1.1458
1,1,0,0,0,356420919,9.21848,-0.788033,-7.52551,1.1458
1,1,0,0,0,356420919,9.21865,-0.78799,-7.52551,1.1458
1,1,0,0,0,356420919,9.2195,-0.787891,-7.52551,1.1458
1,1,0,0,0,356420919,9.21968,-0.787909,-7.52551,1.1458
1,1,0,0,0,356420919,9.22004,-0.787987,-7.52551,1.1458
1,1,0,0,0,356420919,9.21994,-0.788116,-7.52551,1.1458
1,1,0,0,0,356420919,9.21916,-0.788263,-7.52551,1.1458
1,1,0,0,0,356420919,9.2181,-0.788403,-7.52551,1.1458
1,1,0,0,0,356420919,9.21707,-0.788527,-7.52551,1.1458
1,1,0,0,0,356420919,9.21636,-0.78853,-7.52551,1.1458
1,1,0,0,0,356420919,9.21601,-0.788498,-7.52551,1.1458
1,1,0,0,0,356420919,9.21592,-0.788551,-7.52551,1.1458
1,1,0,0,0,356420919,9.21583,-0.788585,-7.52551,1.1458
1,1,0,0,0,356420919,9.21535,-0.788662,-7.52551,1.1458
1,1,0,0,0,356420919,9.21516,-0.788756,-7.52551,1.1458
1,1,0,0,0,356420919,9.21507,-0.788747,-7.52551,1.1458
1,1,0,0,0,356420919,9.21545,-0.788772,-7.52551,1.1458
1,1,0,0,0,356420919,9.21615,-0.788673,-7.52551,1.1458
1,1,0,0,0,356420919,9.21677,-0.788501,-7.52551,1.1458
1,1,0,0,0,356420919,9.2169,-0.788441,-7.52551,1.1458
1,1,0,0,0,356420919,9.2165,-0.788449,-7.52551,1.1458
1,1,0,0,0,356420919,9.21635,-0.788462,-7.52551,1.1458
1,1,0,0,0,356420919,9.21619,-0.788503,-7.52551,1.1458
1,1,0,0,0,356420919,9.21615,-0.788622,-7.52551,1.1458
1,1,0,0,0,356420919,9.21645,-0.788634,-7.52551,1.1458
1,1,0,0,0,356420919,9.2164,-0.788456,-7.52551,1.1458
1,1,0,0,0,356420919,9.21611,-0.788374,-7.52551,1.1458
1,1,0,0,0,356420919,9.21605,-0.788417,-7.52551,1.1458
1,1,0,0,0,356420919,9.2162,-0.788424,-7.52551,1.1458
1,1,0,0,0,356420919,9.21678,-0.788469,-7.52551,1.1458
1,1,0,0,0,356420919,9.21749,-0.788539,-7.52551,1.1458
1,1,0,0,0,356420919,9.21894,-0.788512,-7.52551,1.1458
