Mode,Dof,ControlType,StairNum,Trial,whichStim,NormF,ShearF,NormP,ShearP
1,1,0,0,0,411283102,5.18815,-0.442611,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22732,-0.787565,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22729,-0.787592,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.2271,-0.787703,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.2267,-0.787691,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22693,-0.787729,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22737,-0.787749,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22786,-0.787641,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22787,-0.787622,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.2277,-0.787632,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22744,-0.787459,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22691,-0.787472,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22668,-0.787567,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22711,-0.787569,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22741,-0.787616,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22769,-0.787688,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.228,-0.787587,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22884,-0.787577,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22963,-0.787631,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22957,-0.787624,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22951,-0.787652,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22917,-0.787666,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22808,-0.787583,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22824,-0.787589,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.2283,-0.787587,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22804,-0.787576,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.2283,-0.787574,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.2288,-0.787552,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.2285,-0.787526,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22861,-0.787522,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.2282,-0.787607,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.2274,-0.787658,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22759,-0.787603,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22775,-0.787663,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22744,-0.787616,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22788,-0.787597,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.2276,-0.787641,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22814,-0.787512,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22832,-0.787422,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22832,-0.787407,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22802,-0.787384,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22725,-0.787444,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22771,-0.787472,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22878,-0.787384,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.2299,-0.787348,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.23056,-0.787236,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.23068,-0.787283,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22973,-0.787371,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.2286,-0.787434,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22769,-0.787512,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.2271,-0.787561,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22681,-0.787588,-2.13558,-0.000183975
1,1,0,0,0,411283102,9.22654,-0.787608,-2.13558,-0.000183975
