Mode,Dof,ControlType,StairNum,Trial,whichStim,NormF,ShearF,NormP,ShearP
1,1,0,0,0,-1719678641,4.6094,-0.395138,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21812,-0.790504,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21822,-0.790459,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21861,-0.790382,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21898,-0.790425,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21907,-0.790503,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21914,-0.790533,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21932,-0.790539,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21995,-0.790438,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.22153,-0.790314,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.22232,-0.790233,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.22204,-0.790245,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.22143,-0.790347,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21991,-0.790495,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21878,-0.790623,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21853,-0.790709,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21942,-0.790671,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.22,-0.790619,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21973,-0.79059,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21938,-0.790501,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21831,-0.790493,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.2166,-0.790614,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21649,-0.790685,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21672,-0.790611,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21714,-0.790596,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21771,-0.790586,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.2188,-0.790446,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21967,-0.790375,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.22057,-0.790362,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.2218,-0.790311,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.22249,-0.790283,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.2217,-0.790419,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.22108,-0.790493,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21978,-0.79061,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.2184,-0.790769,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21785,-0.790732,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21788,-0.790658,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21819,-0.790586,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21859,-0.790468,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21874,-0.790415,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21865,-0.790521,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21844,-0.790517,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21785,-0.790592,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21814,-0.790679,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21862,-0.790614,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21881,-0.790525,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21876,-0.79057,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.2188,-0.790485,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21859,-0.790475,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21839,-0.790506,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.2183,-0.790471,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21854,-0.790438,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.2186,-0.790486,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21941,-0.790437,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.22069,-0.79032,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.22192,-0.790194,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.2219,-0.790137,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.22149,-0.790159,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.22022,-0.79035,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21897,-0.790559,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21824,-0.79071,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.218,-0.790695,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21827,-0.790677,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21961,-0.79057,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.22061,-0.790327,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.22137,-0.790293,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.22083,-0.790327,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21985,-0.79036,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21903,-0.790513,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21834,-0.790606,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21854,-0.790588,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21862,-0.790489,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.2185,-0.790503,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21849,-0.790524,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21856,-0.7905,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21898,-0.790516,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21851,-0.790472,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.2182,-0.790463,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21815,-0.790545,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21774,-0.790523,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21794,-0.790489,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21815,-0.790452,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21858,-0.790372,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21973,-0.790321,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.22084,-0.790328,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.22289,-0.790439,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.22301,-0.790424,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.22352,-0.790391,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.22318,-0.79042,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.2228,-0.790544,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.22169,-0.790615,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.22002,-0.790743,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21872,-0.790783,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21797,-0.79076,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21813,-0.790641,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21888,-0.790592,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21912,-0.790613,-7.85519,0.000183975
1,1,0,0,0,-1719678641,9.21936,-0.790666,-7.85519,0.000183975
