Mode,Dof,ControlType,StairNum,Trial,whichStim,NormF,ShearF,NormP,ShearP
1,1,0,0,0,508087024,4.90946,-0.42352,-7.90155,0.499309
1,1,0,0,0,508087024,9.21024,-0.794262,-7.90155,0.499309
1,1,0,0,0,508087024,9.21063,-0.794311,-7.90155,0.499309
1,1,0,0,0,508087024,9.21064,-0.794377,-7.90155,0.499309
1,1,0,0,0,508087024,9.21003,-0.794431,-7.90155,0.499309
1,1,0,0,0,508087024,9.21011,-0.794435,-7.90155,0.499309
1,1,0,0,0,508087024,9.21087,-0.794321,-7.90155,0.499309
1,1,0,0,0,508087024,9.20997,-0.794427,-7.90155,0.499309
1,1,0,0,0,508087024,9.20953,-0.794441,-7.90155,0.499309
1,1,0,0,0,508087024,9.20994,-0.794402,-7.90155,0.499309
1,1,0,0,0,508087024,9.21038,-0.794316,-7.90155,0.499309
1,1,0,0,0,508087024,9.20977,-0.794276,-7.90155,0.499309
1,1,0,0,0,508087024,9.20992,-0.794299,-7.90155,0.499309
1,1,0,0,0,508087024,9.21033,-0.794379,-7.90155,0.499309
1,1,0,0,0,508087024,9.20994,-0.79442,-7.90155,0.499309
1,1,0,0,0,508087024,9.2093,-0.794471,-7.90155,0.499309
1,1,0,0,0,508087024,9.2102,-0.794442,-7.90155,0.499309
1,1,0,0,0,508087024,9.21042,-0.794332,-7.90155,0.499309
1,1,0,0,0,508087024,9.20993,-0.794296,-7.90155,0.499309
1,1,0,0,0,508087024,9.21079,-0.794397,-7.90155,0.499309
1,1,0,0,0,508087024,9.21085,-0.794396,-7.90155,0.499309
1,1,0,0,0,508087024,9.21026,-0.794392,-7.90155,0.499309
1,1,0,0,0,508087024,9.21043,-0.794433,-7.90155,0.499309
1,1,0,0,0,508087024,9.20977,-0.794406,-7.90155,0.499309
1,1,0,0,0,508087024,9.20926,-0.794291,-7.90155,0.499309
1,1,0,0,0,508087024,9.20973,-0.794273,-7.90155,0.499309
1,1,0,0,0,508087024,9.21084,-0.794154,-7.90155,0.499309
1,1,0,0,0,508087024,9.21138,-0.794031,-7.90155,0.499309
1,1,0,0,0,508087024,9.21107,-0.794165,-7.90155,0.499309
1,1,0,0,0,508087024,9.2113,-0.794269,-7.90155,0.499309
1,1,0,0,0,508087024,9.2107,-0.794445,-7.90155,0.499309
1,1,0,0,0,508087024,9.20991,-0.794645,-7.90155,0.499309
1,1,0,0,0,508087024,9.20998,-0.794646,-7.90155,0.499309
1,1,0,0,0,508087024,9.2104,-0.794604,-7.90155,0.499309
1,1,0,0,0,508087024,9.21095,-0.794501,-7.90155,0.499309
1,1,0,0,0,508087024,9.21147,-0.794373,-7.90155,0.499309
1,1,0,0,0,508087024,9.2115,-0.794309,-7.90155,0.499309
1,1,0,0,0,508087024,9.21166,-0.794261,-7.90155,0.499309
1,1,0,0,0,508087024,9.21105,-0.794291,-7.90155,0.499309
1,1,0,0,0,508087024,9.21011,-0.794404,-7.90155,0.499309
1,1,0,0,0,508087024,9.20998,-0.794511,-7.90155,0.499309
