Mode,Dof,ControlType,Trial,whichStim,NormF,ShearF,NormP,ShearP
1,1,0,0,-402337380,9.23629,-0.790339,17.6717,-0.000183975
1,1,0,0,-402337380,9.23611,-0.790445,17.6717,-0.000183975
1,1,0,0,-402337380,9.23643,-0.790376,17.6717,-0.000183975
1,1,0,0,-402337380,9.23598,-0.790345,17.6717,-0.000183975
1,1,0,0,-402337380,9.23551,-0.790337,17.6717,-0.000183975
1,1,0,0,-402337380,9.23595,-0.790314,17.6717,-0.000183975
1,1,0,0,-402337380,9.23649,-0.790263,17.6717,-0.000183975
1,1,0,0,-402337380,9.2367,-0.790326,17.6717,-0.000183975
1,1,0,0,-402337380,9.23702,-0.790379,17.6717,-0.000183975
1,1,0,0,-402337380,9.23735,-0.790348,17.6717,-0.000183975
1,1,0,0,-402337380,9.2375,-0.790245,17.6717,-0.000183975
1,1,0,0,-402337380,9.23746,-0.790286,17.6717,-0.000183975
1,1,0,0,-402337380,9.23735,-0.790296,17.6717,-0.000183975
1,1,0,0,-402337380,9.23711,-0.79031,17.6717,-0.000183975
1,1,0,0,-402337380,9.23784,-0.790256,17.6717,-0.000183975
1,1,0,0,-402337380,9.23723,-0.790255,17.6717,-0.000183975
1,1,0,0,-402337380,9.23675,-0.790246,17.6717,-0.000183975
1,1,0,0,-402337380,9.23685,-0.790234,17.6717,-0.000183975
1,1,0,0,-402337380,9.23625,-0.790304,17.6717,-0.000183975
1,1,0,0,-402337380,9.23595,-0.790363,17.6717,-0.000183975
1,1,0,0,-402337380,9.23686,-0.790239,17.6717,-0.000183975
1,1,0,0,-402337380,9.23704,-0.79022,17.6717,-0.000183975
1,1,0,0,-402337380,9.23687,-0.790213,17.6717,-0.000183975
1,1,0,0,-402337380,9.23722,-0.790104,17.6717,-0.000183975
1,1,0,0,-402337380,9.23698,-0.790035,17.6717,-0.000183975
1,1,0,0,-402337380,9.23656,-0.79006,17.6717,-0.000183975
1,1,0,0,-402337380,9.23717,-0.790054,17.6717,-0.000183975
1,1,0,0,-402337380,9.23707,-0.790033,17.6717,-0.000183975
1,1,0,0,-402337380,9.23678,-0.79007,17.6717,-0.000183975
1,1,0,0,-402337380,9.23694,-0.790191,17.6717,-0.000183975
1,1,0,0,-402337380,9.23668,-0.790206,17.6717,-0.000183975
1,1,0,0,-402337380,9.23659,-0.790204,17.6717,-0.000183975
1,1,0,0,-402337380,9.23652,-0.790314,17.6717,-0.000183975
1,1,0,0,-402337380,9.23612,-0.790262,17.6717,-0.000183975
1,1,0,0,-402337380,9.23606,-0.790225,17.6717,-0.000183975
1,1,0,0,-402337380,9.23529,-0.790389,17.6717,-0.000183975
1,1,0,0,-402337380,9.23526,-0.790409,17.6717,-0.000183975
1,1,0,0,-402337380,9.23522,-0.790411,17.6717,-0.000183975
1,1,0,0,-402337380,9.23481,-0.790502,17.6717,-0.000183975
1,1,0,0,-402337380,9.2347,-0.790411,17.6717,-0.000183975
1,1,0,0,-402337380,9.23447,-0.790268,17.6717,-0.000183975
1,1,0,0,-402337380,9.2343,-0.790218,17.6717,-0.000183975
1,1,0,0,-402337380,9.23449,-0.790233,17.6717,-0.000183975
1,1,0,0,-402337380,9.23413,-0.790249,17.6717,-0.000183975
1,1,0,0,-402337380,9.23432,-0.790238,17.6717,-0.000183975
1,1,0,0,-402337380,9.23452,-0.790237,17.6717,-0.000183975
1,1,0,0,-402337380,9.23462,-0.790215,17.6717,-0.000183975
1,1,0,0,-402337380,9.23504,-0.790226,17.6717,-0.000183975
1,1,0,0,-402337380,9.23587,-0.790123,17.6717,-0.000183975
1,1,0,0,-402337380,9.23608,-0.790125,17.6717,-0.000183975
1,1,0,0,-402337380,9.23588,-0.790238,17.6717,-0.000183975
1,1,0,0,-402337380,9.23507,-0.790227,17.6717,-0.000183975
1,1,0,0,-402337380,9.23463,-0.79018,17.6717,-0.000183975
1,1,0,0,-402337380,9.23448,-0.790232,17.6717,-0.000183975
1,1,0,0,-402337380,9.23579,-0.790144,17.6717,-0.000183975
1,1,0,0,-402337380,9.23669,-0.790127,17.6717,-0.000183975
1,1,0,0,-402337380,9.23727,-0.790168,17.6717,-0.000183975
1,1,0,0,-402337380,9.23741,-0.790208,17.6717,-0.000183975
1,1,0,0,-402337380,9.23727,-0.790229,17.6717,-0.000183975
1,1,0,0,-402337380,9.23645,-0.790241,17.6717,-0.000183975
1,1,0,0,-402337380,9.23612,-0.790197,17.6717,-0.000183975
1,1,0,0,-402337380,9.23577,-0.790203,17.6717,-0.000183975
1,1,0,0,-402337380,9.23621,-0.790152,17.6717,-0.000183975
1,1,0,0,-402337380,9.23582,-0.790132,17.6717,-0.000183975
1,1,0,0,-402337380,9.23612,-0.790182,17.6717,-0.000183975
1,1,0,0,-402337380,9.23698,-0.790148,17.6717,-0.000183975
1,1,0,0,-402337380,9.23638,-0.790073,17.6717,-0.000183975
1,1,0,0,-402337380,9.23544,-0.790098,17.6717,-0.000183975
1,1,0,0,-402337380,9.23493,-0.790112,17.6717,-0.000183975
1,1,0,0,-402337380,9.23407,-0.789967,17.6717,-0.000183975
1,1,0,0,-402337380,9.23358,-0.789999,17.6717,-0.000183975
1,1,0,0,-402337380,9.23383,-0.790017,17.6717,-0.000183975
1,1,0,0,-402337380,9.23455,-0.790058,17.6717,-0.000183975
1,1,0,0,-402337380,9.23516,-0.790128,17.6717,-0.000183975
1,1,0,0,-402337380,9.23618,-0.790202,17.6717,-0.000183975
1,1,0,0,-402337380,9.23621,-0.790209,17.6717,-0.000183975
1,1,0,0,-402337380,9.23571,-0.790151,17.6717,-0.000183975
1,1,0,0,-402337380,9.23564,-0.790072,17.6717,-0.000183975
1,1,0,0,-402337380,9.23574,-0.790101,17.6717,-0.000183975
1,1,0,0,-402337380,9.23547,-0.790097,17.6717,-0.000183975
1,1,0,0,-402337380,9.23557,-0.790144,17.6717,-0.000183975
1,1,0,0,-402337380,9.23616,-0.790069,17.6717,-0.000183975
1,1,0,0,-402337380,9.23622,-0.789991,17.6717,-0.000183975
1,1,0,0,-402337380,9.23581,-0.789917,17.6717,-0.000183975
1,1,0,0,-402337380,9.23719,-0.78989,17.6717,-0.000183975
1,1,0,0,-402337380,9.2373,-0.789929,17.6717,-0.000183975
1,1,0,0,-402337380,9.23682,-0.790101,17.6717,-0.000183975
1,1,0,0,-402337380,9.237,-0.790106,17.6717,-0.000183975
1,1,0,0,-402337380,9.23717,-0.790062,17.6717,-0.000183975
1,1,0,0,-402337380,9.23599,-0.790045,17.6717,-0.000183975
1,1,0,0,-402337380,9.23621,-0.789887,17.6717,-0.000183975
1,1,0,0,-402337380,9.23664,-0.789867,17.6717,-0.000183975
1,1,0,0,-402337380,9.23585,-0.789952,17.6717,-0.000183975
1,1,0,0,-402337380,9.23551,-0.790011,17.6717,-0.000183975
1,1,0,0,-402337380,9.23619,-0.790058,17.6717,-0.000183975
1,1,0,0,-402337380,9.23697,-0.790091,17.6717,-0.000183975
1,1,0,0,-402337380,9.23704,-0.790076,17.6717,-0.000183975
1,1,0,0,-402337380,9.23714,-0.790065,17.6717,-0.000183975
1,1,0,0,-402337380,9.23706,-0.790007,17.6717,-0.000183975
1,1,0,0,-402337380,9.23682,-0.790016,17.6717,-0.000183975
1,1,0,0,-402337380,9.23678,-0.789988,17.6717,-0.000183975
1,1,0,0,-402337380,9.23683,-0.789978,17.6717,-0.000183975
1,1,0,0,-402337380,9.23724,-0.790048,17.6717,-0.000183975
1,1,0,0,-402337380,9.23758,-0.79002,17.6717,-0.000183975
1,1,0,0,-402337380,9.23701,-0.790002,17.6717,-0.000183975
1,1,0,0,-402337380,9.23616,-0.790094,17.6717,-0.000183975
1,1,0,0,-402337380,9.23617,-0.790104,17.6717,-0.000183975
1,1,0,0,-402337380,9.23639,-0.790032,17.6717,-0.000183975
1,1,0,0,-402337380,9.23553,-0.790159,17.6717,-0.000183975
1,1,0,0,-402337380,9.23636,-0.790181,17.6717,-0.000183975
1,1,0,0,-402337380,9.23744,-0.790092,17.6717,-0.000183975
1,1,0,0,-402337380,9.23787,-0.790171,17.6717,-0.000183975
1,1,0,0,-402337380,9.238,-0.79024,17.6717,-0.000183975
