Mode,Dof,ControlType,Trial,whichStim,NormF,ShearF,NormP,ShearP
1,1,0,0,451134918,5.19224,-0.446827,11.2957,-0.000183975
1,1,0,0,451134918,9.23768,-0.794672,11.2957,-0.000183975
1,1,0,0,451134918,9.23726,-0.79481,11.2957,-0.000183975
1,1,0,0,451134918,9.23767,-0.794949,11.2957,-0.000183975
1,1,0,0,451134918,9.23795,-0.794933,11.2957,-0.000183975
1,1,0,0,451134918,9.23787,-0.794813,11.2957,-0.000183975
1,1,0,0,451134918,9.23776,-0.794729,11.2957,-0.000183975
1,1,0,0,451134918,9.23762,-0.794658,11.2957,-0.000183975
1,1,0,0,451134918,9.23721,-0.794664,11.2957,-0.000183975
1,1,0,0,451134918,9.23795,-0.794668,11.2957,-0.000183975
1,1,0,0,451134918,9.23905,-0.794537,11.2957,-0.000183975
1,1,0,0,451134918,9.23892,-0.794558,11.2957,-0.000183975
1,1,0,0,451134918,9.23862,-0.794514,11.2957,-0.000183975
1,1,0,0,451134918,9.23787,-0.79443,11.2957,-0.000183975
1,1,0,0,451134918,9.23695,-0.79455,11.2957,-0.000183975
1,1,0,0,451134918,9.2374,-0.794647,11.2957,-0.000183975
1,1,0,0,451134918,9.23833,-0.794597,11.2957,-0.000183975
1,1,0,0,451134918,9.23883,-0.794655,11.2957,-0.000183975
1,1,0,0,451134918,9.23872,-0.794699,11.2957,-0.000183975
1,1,0,0,451134918,9.23866,-0.794601,11.2957,-0.000183975
1,1,0,0,451134918,9.23787,-0.794617,11.2957,-0.000183975
1,1,0,0,451134918,9.23851,-0.794493,11.2957,-0.000183975
1,1,0,0,451134918,9.23938,-0.794402,11.2957,-0.000183975
1,1,0,0,451134918,9.23961,-0.794452,11.2957,-0.000183975
1,1,0,0,451134918,9.23935,-0.794471,11.2957,-0.000183975
1,1,0,0,451134918,9.23934,-0.794476,11.2957,-0.000183975
1,1,0,0,451134918,9.23937,-0.794568,11.2957,-0.000183975
1,1,0,0,451134918,9.239,-0.794557,11.2957,-0.000183975
1,1,0,0,451134918,9.2384,-0.794524,11.2957,-0.000183975
1,1,0,0,451134918,9.23851,-0.794497,11.2957,-0.000183975
1,1,0,0,451134918,9.23728,-0.794543,11.2957,-0.000183975
