Time,Mode,Dof,ControlType,Trial,whichStim,NormF,ShearF,NormP,ShearP,eeRadius,CombinedE,ContactRadius,PlanarA,SphericalA,MeanStress,MeanStrain,ElasticStrainEnergy_N,YoungModulusNS,PoissonNS,CouplingBetaNS,ShearModulusNS,ComplianceN_NS,ComplianceT_NS
0.013973,1,1,0,0,4,4.28538,-0.344128,-7.68796,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1449.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00359,1.49821,-nan(ind),-nan(ind),0
0.073656,1,1,0,0,4,8.57918,-0.688921,-7.68796,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1449.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00359,1.49821,-nan(ind),-nan(ind),0
0.084247,1,1,0,0,4,8.57948,-0.688855,-7.68796,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1449.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00359,1.49821,-nan(ind),-nan(ind),0
0.094695,1,1,0,0,4,8.57901,-0.688725,-7.68796,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1449.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00359,1.49821,-nan(ind),-nan(ind),0
0.105632,1,1,0,0,4,8.57879,-0.688619,-7.68796,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1449.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00359,1.49821,-nan(ind),-nan(ind),0
0.116608,1,1,0,0,4,8.57892,-0.688586,-7.68796,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1449.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00359,1.49821,-nan(ind),-nan(ind),0
0.128599,1,1,0,0,4,8.5789,-0.688582,-7.68796,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1449.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00359,1.49821,-nan(ind),-nan(ind),0
0.13956,1,1,0,0,4,8.57896,-0.688636,-7.68796,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1449.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00359,1.49821,-nan(ind),-nan(ind),0
0.150566,1,1,0,0,4,8.57879,-0.688695,-7.68796,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1449.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00359,1.49821,-nan(ind),-nan(ind),0
0.161444,1,1,0,0,4,8.57885,-0.688766,-7.68796,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1449.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00359,1.49821,-nan(ind),-nan(ind),0
0.173472,1,1,0,0,4,8.57869,-0.68882,-7.68796,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1449.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00359,1.49821,-nan(ind),-nan(ind),0
0.184501,1,1,0,0,4,8.57843,-0.688867,-7.68796,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1449.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00359,1.49821,-nan(ind),-nan(ind),0
0.196446,1,1,0,0,4,8.57912,-0.688809,-7.68796,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1449.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00359,1.49821,-nan(ind),-nan(ind),0
0.2075,1,1,0,0,4,8.57865,-0.688749,-7.68796,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1449.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00359,1.49821,-nan(ind),-nan(ind),0
0.218325,1,1,0,0,4,8.57878,-0.688697,-7.68796,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1449.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00359,1.49821,-nan(ind),-nan(ind),0
0.230576,1,1,0,0,4,8.57893,-0.68866,-7.68796,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1449.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00359,1.49821,-nan(ind),-nan(ind),0
0.241331,1,1,0,0,4,8.57864,-0.688709,-7.68796,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1449.15,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00359,1.49821,-nan(ind),-nan(ind),0
