Mode,Dof,ControlType,Trial,whichStim,NormF,ShearF,NormP,ShearP
1,1,0,0,-1614782473,9.56652,-0.817544,0.296384,0.000183975
1,1,0,0,-1614782473,9.56711,-0.817447,0.296384,0.000183975
1,1,0,0,-1614782473,9.56707,-0.817236,0.296384,0.000183975
1,1,0,0,-1614782473,9.56629,-0.817304,0.296384,0.000183975
1,1,0,0,-1614782473,9.56656,-0.817396,0.296384,0.000183975
1,1,0,0,-1614782473,9.56725,-0.817394,0.296384,0.000183975
1,1,0,0,-1614782473,9.56628,-0.817482,0.296384,0.000183975
1,1,0,0,-1614782473,9.5656,-0.817484,0.296384,0.000183975
1,1,0,0,-1614782473,9.56608,-0.817464,0.296384,0.000183975
1,1,0,0,-1614782473,9.56679,-0.817292,0.296384,0.000183975
1,1,0,0,-1614782473,9.5667,-0.817231,0.296384,0.000183975
1,1,0,0,-1614782473,9.56685,-0.81714,0.296384,0.000183975
1,1,0,0,-1614782473,9.56754,-0.81705,0.296384,0.000183975
1,1,0,0,-1614782473,9.56707,-0.817099,0.296384,0.000183975
1,1,0,0,-1614782473,9.56678,-0.817123,0.296384,0.000183975
1,1,0,0,-1614782473,9.5671,-0.817254,0.296384,0.000183975
1,1,0,0,-1614782473,9.56673,-0.817419,0.296384,0.000183975
1,1,0,0,-1614782473,9.56605,-0.817444,0.296384,0.000183975
1,1,0,0,-1614782473,9.56531,-0.817446,0.296384,0.000183975
1,1,0,0,-1614782473,9.56497,-0.817379,0.296384,0.000183975
1,1,0,0,-1614782473,9.56522,-0.817264,0.296384,0.000183975
1,1,0,0,-1614782473,9.56554,-0.817271,0.296384,0.000183975
1,1,0,0,-1614782473,9.56582,-0.817388,0.296384,0.000183975
1,1,0,0,-1614782473,9.56558,-0.81749,0.296384,0.000183975
1,1,0,0,-1614782473,9.56601,-0.817627,0.296384,0.000183975
1,1,0,0,-1614782473,9.56674,-0.817742,0.296384,0.000183975
1,1,0,0,-1614782473,9.56659,-0.817724,0.296384,0.000183975
1,1,0,0,-1614782473,9.56621,-0.817684,0.296384,0.000183975
1,1,0,0,-1614782473,9.5666,-0.817648,0.296384,0.000183975
1,1,0,0,-1614782473,9.56609,-0.817463,0.296384,0.000183975
1,1,0,0,-1614782473,9.56556,-0.81741,0.296384,0.000183975
1,1,0,0,-1614782473,9.56546,-0.81733,0.296384,0.000183975
