Time,Mode,Dof,ControlType,Trial,whichStim,NormF,ShearF,NormP,ShearP,eeRadius,CombinedE,ContactRadius,PlanarA,SphericalA,MeanStress,MeanStrain,ElasticStrainEnergy_N,YoungModulusNS,PoissonNS,CouplingBetaNS,ShearModulusNS,ComplianceN_NS,ComplianceT_NS
0.015345,1,1,0,0,4,4.82103,-0.396319,-6.36297,0.000183975,30,-nan(ind),-nan(ind),-nan(ind),-1199.39,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00211,1.49894,-nan(ind),-nan(ind),0
0.078439,1,1,0,0,4,8.57212,-0.70518,-6.36297,0.000183975,30,-nan(ind),-nan(ind),-nan(ind),-1199.39,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00211,1.49895,-nan(ind),-nan(ind),0
0.089011,1,1,0,0,4,8.57188,-0.705172,-6.36297,0.000183975,30,-nan(ind),-nan(ind),-nan(ind),-1199.39,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00211,1.49895,-nan(ind),-nan(ind),0
0.100826,1,1,0,0,4,8.57202,-0.705122,-6.36297,0.000183975,30,-nan(ind),-nan(ind),-nan(ind),-1199.39,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00211,1.49895,-nan(ind),-nan(ind),0
0.111958,1,1,0,0,4,8.57293,-0.705031,-6.36297,0.000183975,30,-nan(ind),-nan(ind),-nan(ind),-1199.39,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00211,1.49895,-nan(ind),-nan(ind),0
0.122826,1,1,0,0,4,8.57372,-0.704962,-6.36297,0.000183975,30,-nan(ind),-nan(ind),-nan(ind),-1199.39,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00211,1.49895,-nan(ind),-nan(ind),0
0.134599,1,1,0,0,4,8.57389,-0.704978,-6.36297,0.000183975,30,-nan(ind),-nan(ind),-nan(ind),-1199.39,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00211,1.49895,-nan(ind),-nan(ind),0
0.145607,1,1,0,0,4,8.57378,-0.705043,-6.36297,0.000183975,30,-nan(ind),-nan(ind),-nan(ind),-1199.39,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00211,1.49895,-nan(ind),-nan(ind),0
0.156589,1,1,0,0,4,8.57303,-0.705086,-6.36297,0.000183975,30,-nan(ind),-nan(ind),-nan(ind),-1199.39,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00211,1.49895,-nan(ind),-nan(ind),0
0.168474,1,1,0,0,4,8.57232,-0.705171,-6.36297,0.000183975,30,-nan(ind),-nan(ind),-nan(ind),-1199.39,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00211,1.49895,-nan(ind),-nan(ind),0
0.180484,1,1,0,0,4,8.57211,-0.705173,-6.36297,0.000183975,30,-nan(ind),-nan(ind),-nan(ind),-1199.39,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00211,1.49895,-nan(ind),-nan(ind),0
0.191496,1,1,0,0,4,8.57289,-0.705147,-6.36297,0.000183975,30,-nan(ind),-nan(ind),-nan(ind),-1199.39,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00211,1.49895,-nan(ind),-nan(ind),0
0.20234,1,1,0,0,4,8.57363,-0.7052,-6.36297,0.000183975,30,-nan(ind),-nan(ind),-nan(ind),-1199.39,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00211,1.49895,-nan(ind),-nan(ind),0
0.213353,1,1,0,0,4,8.57387,-0.705079,-6.36297,0.000183975,30,-nan(ind),-nan(ind),-nan(ind),-1199.39,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00211,1.49895,-nan(ind),-nan(ind),0
0.225534,1,1,0,0,4,8.57366,-0.705027,-6.36297,0.000183975,30,-nan(ind),-nan(ind),-nan(ind),-1199.39,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00211,1.49895,-nan(ind),-nan(ind),0
