Time,Mode,Dof,ControlType,Trial,whichStim,NormF,ShearF,NormP,ShearP,eeRadius,CombinedE,ContactRadius,PlanarA,SphericalA,MeanStress,MeanStrain,ElasticStrainEnergy_N,YoungModulusNS,PoissonNS,CouplingBetaNS,ShearModulusNS,ComplianceN_NS,ComplianceT_NS
0.014729,1,1,0,0,4,4.56902,-0.375688,-5.17706,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-975.853,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00521,1.49741,-nan(ind),-nan(ind),0
0.076408,1,1,0,0,4,8.57328,-0.704844,-5.17706,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-975.853,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00521,1.49741,-nan(ind),-nan(ind),0
0.084662,1,1,0,0,4,8.57346,-0.704804,-5.17706,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-975.853,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00521,1.49741,-nan(ind),-nan(ind),0
0.096666,1,1,0,0,4,8.57383,-0.704844,-5.17706,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-975.853,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00521,1.49741,-nan(ind),-nan(ind),0
0.107784,1,1,0,0,4,8.57355,-0.704899,-5.17706,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-975.853,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00521,1.49741,-nan(ind),-nan(ind),0
0.118821,1,1,0,0,4,8.57296,-0.704956,-5.17706,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-975.853,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00521,1.49741,-nan(ind),-nan(ind),0
0.129666,1,1,0,0,4,8.57263,-0.705047,-5.17706,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-975.853,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00521,1.49741,-nan(ind),-nan(ind),0
0.140686,1,1,0,0,4,8.57252,-0.705035,-5.17706,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-975.853,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00521,1.49741,-nan(ind),-nan(ind),0
0.151968,1,1,0,0,4,8.5726,-0.704942,-5.17706,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-975.853,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00521,1.49741,-nan(ind),-nan(ind),0
0.162652,1,1,0,0,4,8.57243,-0.704988,-5.17706,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-975.853,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00521,1.49741,-nan(ind),-nan(ind),0
0.173677,1,1,0,0,4,8.57291,-0.70504,-5.17706,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-975.853,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00521,1.49741,-nan(ind),-nan(ind),0
0.185778,1,1,0,0,4,8.57319,-0.705173,-5.17706,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-975.853,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00521,1.49741,-nan(ind),-nan(ind),0
0.196719,1,1,0,0,4,8.57353,-0.705225,-5.17706,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-975.853,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00521,1.49741,-nan(ind),-nan(ind),0
0.207724,1,1,0,0,4,8.57293,-0.70523,-5.17706,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-975.853,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00521,1.49741,-nan(ind),-nan(ind),0
0.218826,1,1,0,0,4,8.57226,-0.705234,-5.17706,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-975.853,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00521,1.49741,-nan(ind),-nan(ind),0
0.229859,1,1,0,0,4,8.57248,-0.705139,-5.17706,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-975.853,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00521,1.49741,-nan(ind),-nan(ind),0
0.240609,1,1,0,0,4,8.57238,-0.705011,-5.17706,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-975.853,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00521,1.49741,-nan(ind),-nan(ind),0
0.251572,1,1,0,0,4,8.57182,-0.705059,-5.17706,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-975.853,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00521,1.49741,-nan(ind),-nan(ind),0
0.262495,1,1,0,0,4,8.57216,-0.705085,-5.17706,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-975.853,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00521,1.49741,-nan(ind),-nan(ind),0
