Mode,Dof,ControlType,Trial,Stimulus1,Stimulus2,Standard,Comparison,Adjust,Dir,Change,FinalVal,NormF1,ShearF1,NormP1,ShearP1,NormF2,ShearF2,NormP2,ShearP2
1,1,0,1,7.18953e-312,3.8,1,2,1,1,-1.4,2.4,9.87065e-313,1.06851e-317,9.87065e-313,2.13897e-311,0,0,7.17235e-312,0
2,1,0,2,7.18953e-312,2.4,1,2,0,2,0,2.4,9.87065e-313,1.06851e-317,9.87065e-313,2.13897e-311,0,0,7.17235e-312,0
2,1,0,3,7.18953e-312,7,1,2,1,2,0,7,9.87065e-313,1.06851e-317,9.87065e-313,2.13897e-311,0,0,7.17235e-312,0
