Time,Mode,Dof,ControlType,Trial,whichStim,NormF,ShearF,NormP,ShearP,eeRadius,CombinedE,ContactRadius,PlanarA,SphericalA,MeanStress,MeanStrain,ElasticStrainEnergy_N,YoungModulusNS,PoissonNS,CouplingBetaNS,ShearModulusNS,ComplianceN_NS,ComplianceT_NS
0.013969,1,1,0,0,0,4.22536,-0.420115,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.071372,1,1,0,0,0,8.4493,-0.841123,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.080958,1,1,0,0,0,8.44939,-0.841189,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.091789,1,1,0,0,0,8.44932,-0.841178,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.102603,1,1,0,0,0,8.44907,-0.841232,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.11354,1,1,0,0,0,8.44945,-0.841265,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.124467,1,1,0,0,0,8.45026,-0.841202,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.136494,1,1,0,0,0,8.45012,-0.841299,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.14734,1,1,0,0,0,8.44975,-0.841355,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.158784,1,1,0,0,0,8.45022,-0.841243,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.16931,1,1,0,0,0,8.44961,-0.841256,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.181268,1,1,0,0,0,8.44942,-0.841216,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.192482,1,1,0,0,0,8.45035,-0.841104,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.203282,1,1,0,0,0,8.45029,-0.841226,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.214161,1,1,0,0,0,8.45013,-0.841183,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.225397,1,1,0,0,0,8.45084,-0.841127,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.236204,1,1,0,0,0,8.45032,-0.841134,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.247215,1,1,0,0,0,8.44995,-0.841073,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.258159,1,1,0,0,0,8.44972,-0.840888,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.269074,1,1,0,0,0,8.45041,-0.840926,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.280891,1,1,0,0,0,8.45053,-0.840938,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.29097,1,1,0,0,0,8.4505,-0.84093,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.303057,1,1,0,0,0,8.45048,-0.841017,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.313891,1,1,0,0,0,8.44978,-0.841127,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.32493,1,1,0,0,0,8.44902,-0.841158,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.335986,1,1,0,0,0,8.44968,-0.841105,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.346849,1,1,0,0,0,8.44996,-0.841092,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.357898,1,1,0,0,0,8.44995,-0.841077,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.368904,1,1,0,0,0,8.44993,-0.84102,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.380756,1,1,0,0,0,8.44967,-0.84098,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.392221,1,1,0,0,0,8.4491,-0.840972,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
0.403537,1,1,0,0,0,8.44953,-0.841023,-12.1896,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2297.69,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00182,1.49909,-nan(ind),-nan(ind),0
