Time,Mode,Dof,ControlType,Trial,whichStim,NormF,ShearF,NormP,ShearP,eeRadius,CombinedE,ContactRadius,PlanarA,SphericalA,MeanStress,MeanStrain,ElasticStrainEnergy_N,YoungModulusNS,PoissonNS,CouplingBetaNS,ShearModulusNS,ComplianceN_NS,ComplianceT_NS
0.014534,1,1,0,0,4,4.56833,-0.374639,-10.2907,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1939.74,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00262,1.49869,-nan(ind),-nan(ind),0
0.073949,1,1,0,0,4,8.57293,-0.702306,-10.2907,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1939.74,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0
0.083345,1,1,0,0,4,8.57196,-0.702261,-10.2907,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1939.74,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0
0.094395,1,1,0,0,4,8.57198,-0.702245,-10.2907,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1939.74,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0
0.104577,1,1,0,0,4,8.57237,-0.702225,-10.2907,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1939.74,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0
0.116621,1,1,0,0,4,8.57208,-0.702192,-10.2907,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1939.74,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0
0.127466,1,1,0,0,4,8.57234,-0.70226,-10.2907,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1939.74,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0
0.138718,1,1,0,0,4,8.57246,-0.702263,-10.2907,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1939.74,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0
0.150434,1,1,0,0,4,8.57185,-0.702263,-10.2907,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1939.74,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0
0.162593,1,1,0,0,4,8.57158,-0.702265,-10.2907,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1939.74,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0
0.173839,1,1,0,0,4,8.57152,-0.702208,-10.2907,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1939.74,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0
0.184603,1,1,0,0,4,8.57113,-0.70218,-10.2907,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1939.74,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0
0.195885,1,1,0,0,4,8.5713,-0.702183,-10.2907,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1939.74,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0
0.207732,1,1,0,0,4,8.57166,-0.702196,-10.2907,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1939.74,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0
0.218829,1,1,0,0,4,8.5717,-0.702222,-10.2907,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1939.74,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0
0.229248,1,1,0,0,4,8.57241,-0.702226,-10.2907,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1939.74,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0
0.241412,1,1,0,0,4,8.57268,-0.702295,-10.2907,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1939.74,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0
0.252313,1,1,0,0,4,8.57205,-0.70239,-10.2907,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1939.74,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0
0.263158,1,1,0,0,4,8.57185,-0.702461,-10.2907,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1939.74,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00262,1.49869,-nan(ind),-nan(ind),0
0.275264,1,1,0,0,4,8.57105,-0.702544,-10.2907,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1939.74,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00262,1.49869,-nan(ind),-nan(ind),0
0.286482,1,1,0,0,4,8.57039,-0.702589,-10.2907,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1939.74,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00262,1.49869,-nan(ind),-nan(ind),0
0.297073,1,1,0,0,4,8.57101,-0.702485,-10.2907,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1939.74,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00262,1.49869,-nan(ind),-nan(ind),0
