Time,Mode,Dof,ControlType,Trial,whichStim,NormF,ShearF,NormP,ShearP,eeRadius,CombinedE,ContactRadius,PlanarA,SphericalA,MeanStress,MeanStrain,ElasticStrainEnergy_N,YoungModulusNS,PoissonNS,CouplingBetaNS,ShearModulusNS,ComplianceN_NS,ComplianceT_NS
0.352685,1,1,0,0,4,8.58918,-0.69911,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.363149,1,1,0,0,4,8.58836,-0.699086,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.373893,1,1,0,0,4,8.58839,-0.699085,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.385635,1,1,0,0,4,8.58946,-0.699183,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.396508,1,1,0,0,4,8.58956,-0.699198,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.407552,1,1,0,0,4,8.59004,-0.699231,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.418514,1,1,0,0,4,8.59041,-0.699252,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.42936,1,1,0,0,4,8.58969,-0.699197,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.439854,1,1,0,0,4,8.58886,-0.699237,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.450738,1,1,0,0,4,8.58888,-0.699198,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.461961,1,1,0,0,4,8.58859,-0.699104,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.473001,1,1,0,0,4,8.58842,-0.699146,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.485267,1,1,0,0,4,8.5895,-0.699177,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
