Mode,Dof,ControlType,Trial,Stimulus1,Stimulus2,Standard,Comparison,Adjust,Dir,Change,FinalVal,NormF1,ShearF1,NormP1,ShearP1,NormF2,ShearF2,NormP2,ShearP2
1,0,0,1,1.23426e-311,4,1,2,1,0,6.5,10.5,4.96548e-312,1.06851e-317,4.96548e-312,2.13897e-311,0,0,1.23288e-311,0
2,0,0,2,1.23426e-311,1,1,2,1,0,10,11,4.96548e-312,1.06851e-317,4.96548e-312,2.13897e-311,0,0,1.23288e-311,0
2,0,0,3,1.23426e-311,6,1,2,1,0,7,13,4.96548e-312,1.06851e-317,4.96548e-312,2.13897e-311,0,0,1.23288e-311,0
2,0,0,4,1.23426e-311,5.5,1,2,1,0,7.5,13,4.96548e-312,1.06851e-317,4.96548e-312,2.13897e-311,0,0,1.23288e-311,0
