Mode,Dof,ControlType,StairNum,Trial,Dir,lastSlope,CrossNum,Stimulus1,Stimulus2,Standard,Comparison,Correct,Answer,Greater,NormF1,ShearF1,NormP1,ShearP1,NormF2,ShearF2,NormP2,ShearP2
2,1,0,2,4,1,1,0,1.5,0,2,1,1,1,1,0.841753,0.0542854,1.4935,-3.67951e-06,0.822991,0.0346078,0.18116,-1.4718e-05
2,1,0,2,5,1,1,0,0,1,1,2,2,2,1,0.834289,0.0298087,0.181032,-4.41541e-05,0.733303,0.0426328,0.997775,-2.9436e-05
2,1,0,2,6,1,1,0,0.5,0,2,1,1,1,1,0.581786,0.00813005,0.501281,0,0.816802,0.0622179,0.177091,-1.83975e-05
2,1,0,2,7,1,1,0,0,0,1,2,0,1,0,0.823622,0.0354679,0.176984,-1.10385e-05,0.826387,0.0391042,0.176984,-7.35901e-06
2,1,0,2,8,1,1,0,0,-0.5,1,2,1,1,0,0.820302,0.0488132,0.1768,-3.67951e-05,0.757653,0.0198318,-0.31515,-2.2077e-05
2,1,0,2,9,0,0,1,0,0,2,1,0,1,1,0.414712,0.0171753,0.00423143,0,0.406307,0.0534301,0.00624412,7.35901e-06
2,1,0,2,10,1,1,2,-0.5,0,2,1,2,2,0,0.755295,0.0558892,-0.316253,-0.00014718,0.416987,0.0412093,0.00830096,-5.51926e-05
2,1,0,2,11,0,0,3,0,0,2,1,0,2,0,0.414335,0.0791939,0.0108545,-3.31155e-05,0.444243,0.0409425,0.0108545,0
2,1,0,2,12,1,1,4,-0.5,0,2,1,2,2,0,0.743305,0.0921464,-0.316989,0,0.441442,0.042875,0.00760554,-1.10385e-05
2,1,0,2,13,0,0,5,0,0,2,1,0,2,0,0.441562,0.0352626,0.0114065,-3.67951e-06,0.487769,0.0782597,0.0114065,-0.000169257
2,1,0,2,14,1,1,6,0,-0.5,1,2,1,1,0,0.481392,0.0745501,0.0114065,0,0.75779,0.0702155,-0.317736,-3.67951e-06
2,1,0,2,15,0,0,7,0,0,1,2,0,1,0,0.459544,0.0850633,0.0115904,-3.67951e-06,0.465559,0.0583481,0.0115904,0
2,1,0,2,16,1,1,8,-0.5,0,2,1,2,2,0,0.76986,0.0681208,-0.318524,-0.000139821,0.448254,0.0351901,0.00756506,-0.000143501
2,1,0,2,17,0,0,9,0,0,2,1,0,2,0,0.444872,0.0394863,0.00791094,-0.000117744,0.490611,0.098522,0.00958143,-0.000172937
2,1,0,2,18,1,1,10,-0.5,0,2,1,2,2,0,0.766252,0.100289,-0.318829,-5.88721e-05,0.463889,0.0731646,0.00864684,-2.2077e-05
2,1,0,2,19,0,0,11,0,0,1,2,0,1,0,0.448114,0.0822198,0.00883081,-0.000132462,0.476537,0.0744873,0.0117744,-0.000183975
2,1,0,3,1,2,2,0,0,1,1,2,2,2,1,0.566876,0.0506943,-0.0101186,-8.46286e-05,0.837533,0.0427215,0.980036,-0.000125103
2,1,0,3,2,1,1,0,0,0.5,1,2,2,2,1,0.830609,0.0678734,0.180296,-2.9436e-05,0.569536,0.13858,0.500357,0
2,1,0,3,3,1,1,0,0,0,1,2,0,1,0,0.815545,0.154119,0.176984,0,0.824633,0.12103,0.176984,1.10385e-05
2,1,0,3,4,1,1,0,-0.5,0,2,1,2,1,1,0.762063,0.130893,-0.315591,1.83975e-05,0.418857,0.129969,0.00665622,0
