Mode,Dof,ControlType,PointOfInterest,Cycle,Fn,Ft,deltaN,deltaN
1,1,0,5,0,6.2041,-0.504213,-11.3408,49.2285
1,1,0,5,0,9.0946,-0.748516,-11.3408,49.0649
1,1,0,5,0,9.09477,-0.747892,-11.3408,49.0649
1,1,0,5,0,9.09529,-0.747847,-11.3408,49.0649
1,1,0,5,0,9.09542,-0.747924,-11.3408,49.0649
1,1,0,5,0,9.09493,-0.748123,-11.3408,49.0649
1,1,0,5,0,9.09476,-0.748101,-11.3408,49.0649
1,1,0,5,0,9.09479,-0.748447,-11.3408,49.0649
1,1,0,5,0,9.09464,-0.748696,-11.3408,49.0649
1,1,0,5,0,9.09475,-0.748335,-11.3408,49.0649
1,1,0,5,0,9.09484,-0.748325,-11.3408,49.0649
1,1,0,5,0,9.09455,-0.748647,-11.3408,49.0649
1,1,0,5,0,9.09472,-0.748286,-11.3408,49.0649
1,1,0,5,0,9.09539,-0.748271,-11.3408,49.0649
1,1,0,5,0,9.09596,-0.748465,-11.3408,49.0649
1,1,0,5,0,9.09577,-0.748015,-11.3408,49.0649
1,1,0,5,0,9.09537,-0.74817,-11.3408,49.0649
1,1,0,5,0,9.09466,-0.748276,-11.3408,49.0649
1,1,0,5,0,9.09398,-0.747956,-11.3408,49.0649
1,1,0,5,0,9.09399,-0.748152,-11.3408,49.0649
1,1,0,5,0,9.0951,-0.748399,-11.3408,49.0649
1,1,0,5,0,9.0966,-0.748141,-11.3408,49.0649
1,1,0,5,0,9.09678,-0.748145,-11.3408,49.0649
1,1,0,5,0,9.09666,-0.748443,-11.3408,49.0649
1,1,0,5,0,9.09628,-0.748252,-11.3408,49.0649
1,1,0,5,0,9.09459,-0.748122,-11.3408,49.0649
1,1,0,5,0,9.09418,-0.748422,-11.3408,49.0649
1,1,0,5,0,9.09409,-0.748381,-11.3408,49.0649
1,1,0,5,0,9.09505,-0.748241,-11.3408,49.0649
1,1,0,5,0,9.09614,-0.748463,-11.3408,49.0649
1,1,0,5,0,9.09692,-0.748281,-11.3408,49.0649
1,1,0,5,0,9.09756,-0.747981,-11.3408,49.0649
1,1,0,5,0,9.09816,-0.74814,-11.3408,49.0649
1,1,0,5,0,9.09829,-0.748053,-11.3408,49.0649
1,1,0,5,0,9.09834,-0.747797,-11.3408,49.0649
1,1,0,5,0,9.09788,-0.748076,-11.3408,49.0649
1,1,0,5,0,9.09679,-0.748253,-11.3408,49.0649
1,1,0,5,0,9.09559,-0.748098,-11.3408,49.0649
1,1,0,5,0,9.09439,-0.748343,-11.3408,49.0649
1,1,0,5,0,9.0932,-0.748558,-11.3408,49.0649
1,1,0,5,0,9.09301,-0.748342,-11.3408,49.0649
1,1,0,5,0,9.09363,-0.748272,-11.3408,49.0649
1,1,0,5,0,9.0944,-0.74838,-11.3408,49.0649
1,1,0,5,0,9.09459,-0.748175,-11.3408,49.0649
1,1,0,5,0,9.09456,-0.748193,-11.3408,49.0649
1,1,0,5,0,9.094,-0.748503,-11.3408,49.0649
1,1,0,5,0,9.09331,-0.748336,-11.3408,49.0649
1,1,0,5,0,9.09274,-0.748245,-11.3408,49.0649
1,1,0,5,0,9.09295,-0.748431,-11.3408,49.0649
1,1,0,5,0,9.09296,-0.748298,-11.3408,49.0649
1,1,0,5,0,9.09308,-0.74824,-11.3408,49.0649
1,1,0,5,0,9.09317,-0.74853,-11.3408,49.0649
1,1,0,5,0,9.09312,-0.74854,-11.3408,49.0649
