Mode,Dof,ControlType,StairNum,Trial,Dir,lastSlope,CrossNum,Stimulus1,Stimulus2,Standard,Comparison,Correct,Answer,Greater,NormF1,ShearF1,NormP1,ShearP1,NormF2,ShearF2,NormP2,ShearP2
2,1,0,0,1,2,2,0,0,2,1,2,2,2,1,0.574925,0.0172215,-0.0252046,-2.9436e-05,1.01186,0.0678835,1.96837,0
2,1,0,0,2,1,1,0,1.5,0,2,1,1,1,1,0.831026,0.0233965,1.48039,-6.99106e-05,0.986839,0.119625,0.189127,-5.88721e-05
2,1,0,0,3,1,1,0,1,0,2,1,1,1,1,0.643241,0.0348043,0.991001,0,0.851847,0.0358552,0.178776,-1.83975e-05
2,1,0,0,4,1,1,0,0,0.5,1,2,2,2,1,0.84872,0.0436112,0.173919,0,0.513236,0.0143646,0.490309,-3.67951e-05
2,1,0,0,5,1,1,0,0,0,1,2,0,1,0,0.801644,0.0156903,0.167969,1.10385e-05,0.812173,0.0453228,0.167888,1.10385e-05
2,1,0,0,6,1,1,0,-0.5,0,2,1,2,1,1,0.816895,0.022108,-0.321637,-8.09491e-05,0.395193,0.0474783,-0.0077564,3.67951e-06
2,1,0,0,7,1,1,0,0,-1,1,2,1,2,1,0.428564,0.00101997,-0.00465089,-4.78336e-05,0.726192,0.0284476,-0.821059,0
2,1,0,0,8,1,1,0,-1.5,0,2,1,2,1,1,0.640991,0.0247569,-1.32554,-3.31155e-05,0.429486,0.00583688,-0.0115904,-0.000154539
2,1,0,0,9,1,1,0,0,-2,1,2,1,2,1,0.444098,0.0104454,-0.0115904,-0.000143501,0.63243,0.0256152,-1.81805,-9.93466e-05
