Mode,Dof,ControlType,Trial,Stimulus1,Stimulus2,Standard,Comparison,Adjust,Dir,Change,FinalVal,NormF1,ShearF1,NormP1,ShearP1,NormF2,ShearF2,NormP2,ShearP2
1,1,0,1,1.27117e-311,6,1,2,1,0,8.5,14.5,5.05909e-312,1.06851e-317,5.05909e-312,2.13897e-311,0,0,1.27108e-311,0
2,1,0,2,1.27117e-311,1.5,1,2,1,0,10.5,12,5.05909e-312,1.06851e-317,5.05909e-312,2.13897e-311,0,0,1.27108e-311,0
2,1,0,3,1.27117e-311,6.5,1,2,1,0,8,14.5,5.05909e-312,1.06851e-317,5.05909e-312,2.13897e-311,0,0,1.27108e-311,0
2,1,0,4,1.27117e-311,2.5,1,2,1,0,12,14.5,5.05909e-312,1.06851e-317,5.05909e-312,2.13897e-311,0,0,1.27108e-311,0
