Mode,Dof,ControlType,PointOfInterest,Cycle,Fn,Ft,deltaN,deltaN
1,1,0,5,0,5.02566,-0.395629,-4.98665,0.00183975
1,1,0,5,0,9.42374,-0.742812,-4.98665,0.00183975
1,1,0,5,0,9.42231,-0.742846,-4.98665,0.00183975
1,1,0,5,0,9.41986,-0.742903,-4.98665,0.00183975
1,1,0,5,0,9.41859,-0.743,-4.98665,0.00183975
1,1,0,5,0,9.41852,-0.742916,-4.98665,0.00183975
1,1,0,5,0,9.41861,-0.742856,-4.98665,0.00183975
1,1,0,5,0,9.41864,-0.742847,-4.98665,0.00183975
1,1,0,5,0,9.41912,-0.742783,-4.98665,0.00183975
1,1,0,5,0,9.41943,-0.74283,-4.98665,0.00183975
1,1,0,5,0,9.4197,-0.742907,-4.98665,0.00183975
1,1,0,5,0,9.4209,-0.742967,-4.98665,0.00183975
1,1,0,5,0,9.42202,-0.742987,-4.98665,0.00183975
1,1,0,5,0,9.4224,-0.742991,-4.98665,0.00183975
1,1,0,5,0,9.42227,-0.742997,-4.98665,0.00183975
1,1,0,5,0,9.42127,-0.743,-4.98665,0.00183975
1,1,0,5,0,9.41999,-0.742917,-4.98665,0.00183975
1,1,0,5,0,9.41933,-0.742926,-4.98665,0.00183975
1,1,0,5,0,9.41926,-0.742832,-4.98665,0.00183975
1,1,0,5,0,9.41995,-0.74276,-4.98665,0.00183975
1,1,0,5,0,9.42096,-0.742722,-4.98665,0.00183975
1,1,0,5,0,9.4208,-0.74276,-4.98665,0.00183975
1,1,0,5,0,9.4205,-0.742787,-4.98665,0.00183975
1,1,0,5,0,9.42053,-0.742805,-4.98665,0.00183975
1,1,0,5,0,9.42063,-0.742781,-4.98665,0.00183975
1,1,0,5,0,9.42058,-0.742776,-4.98665,0.00183975
1,1,0,5,0,9.42027,-0.742824,-4.98665,0.00183975
1,1,0,5,0,9.42089,-0.742858,-4.98665,0.00183975
1,1,0,5,0,9.42054,-0.742934,-4.98665,0.00183975
1,1,0,5,0,9.41979,-0.742986,-4.98665,0.00183975
1,1,0,5,0,9.42059,-0.742967,-4.98665,0.00183975
1,1,0,5,0,9.42094,-0.742924,-4.98665,0.00183975
1,1,0,5,0,9.42031,-0.742933,-4.98665,0.00183975
1,1,0,5,0,9.42086,-0.742892,-4.98665,0.00183975
1,1,0,5,0,9.42115,-0.742883,-4.98665,0.00183975
1,1,0,5,0,9.42037,-0.742995,-4.98665,0.00183975
1,1,0,5,0,9.42052,-0.742917,-4.98665,0.00183975
1,1,0,5,0,9.42154,-0.742876,-4.98665,0.00183975
1,1,0,5,0,9.42041,-0.742928,-4.98665,0.00183975
1,1,0,5,0,9.42044,-0.742839,-4.98665,0.00183975
1,1,0,5,0,9.42023,-0.742823,-4.98665,0.00183975
1,1,0,5,0,9.41979,-0.742837,-4.98665,0.00183975
1,1,0,5,0,9.42076,-0.742783,-4.98665,0.00183975
1,1,0,5,0,9.42139,-0.742819,-4.98665,0.00183975
1,1,0,5,0,9.42147,-0.742886,-4.98665,0.00183975
1,1,0,5,0,9.42138,-0.742854,-4.98665,0.00183975
1,1,0,5,0,9.42069,-0.742815,-4.98665,0.00183975
1,1,0,5,0,9.41979,-0.74283,-4.98665,0.00183975
1,1,0,5,0,9.41977,-0.742795,-4.98665,0.00183975
1,1,0,5,0,9.4214,-0.742753,-4.98665,0.00183975
1,1,0,5,0,9.42287,-0.742749,-4.98665,0.00183975
1,1,0,5,0,9.42386,-0.742699,-4.98665,0.00183975
1,1,0,5,0,9.42428,-0.742676,-4.98665,0.00183975
1,1,0,5,0,9.42333,-0.742729,-4.98665,0.00183975
1,1,0,5,0,9.42197,-0.742745,-4.98665,0.00183975
1,1,0,5,0,9.42064,-0.742821,-4.98665,0.00183975
1,1,0,5,0,9.42106,-0.742806,-4.98665,0.00183975
1,1,0,5,0,9.42189,-0.742715,-4.98665,0.00183975
1,1,0,5,0,9.42238,-0.742693,-4.98665,0.00183975
1,1,0,5,0,9.42262,-0.742676,-4.98665,0.00183975
1,1,0,5,0,9.42227,-0.742598,-4.98665,0.00183975
1,1,0,5,0,9.42103,-0.74258,-4.98665,0.00183975
1,1,0,5,0,9.421,-0.742616,-4.98665,0.00183975
1,1,0,5,0,9.42191,-0.742577,-4.98665,0.00183975
1,1,0,5,0,9.4218,-0.742721,-4.98665,0.00183975
1,1,0,5,0,9.42175,-0.742874,-4.98665,0.00183975
1,1,0,5,0,9.42157,-0.742892,-4.98665,0.00183975
1,1,0,5,0,9.42075,-0.742891,-4.98665,0.00183975
1,1,0,5,0,9.42108,-0.742907,-4.98665,0.00183975
1,1,0,5,0,9.42077,-0.742867,-4.98665,0.00183975
1,1,0,5,0,9.42115,-0.742817,-4.98665,0.00183975
1,1,0,5,0,9.42126,-0.742748,-4.98665,0.00183975
1,1,0,5,0,9.42002,-0.742777,-4.98665,0.00183975
1,1,0,5,0,9.41938,-0.742705,-4.98665,0.00183975
1,1,0,5,0,9.41863,-0.742609,-4.98665,0.00183975
1,1,0,5,0,9.41839,-0.742538,-4.98665,0.00183975
1,1,0,5,0,9.41818,-0.742522,-4.98665,0.00183975
1,1,0,5,0,9.41737,-0.742598,-4.98665,0.00183975
1,1,0,5,0,9.41759,-0.742655,-4.98665,0.00183975
1,1,0,5,0,9.41692,-0.742786,-4.98665,0.00183975
1,1,0,5,0,9.41574,-0.743013,-4.98665,0.00183975
1,1,0,5,0,9.4159,-0.742981,-4.98665,0.00183975
1,1,0,5,0,9.41647,-0.742926,-4.98665,0.00183975
1,1,0,5,0,9.4166,-0.742995,-4.98665,0.00183975
1,1,0,5,0,9.41648,-0.742884,-4.98665,0.00183975
1,1,0,5,0,9.41659,-0.742953,-4.98665,0.00183975
1,1,0,5,0,9.41652,-0.743009,-4.98665,0.00183975
1,1,0,5,0,9.41604,-0.742916,-4.98665,0.00183975
1,1,0,5,0,9.41744,-0.742771,-4.98665,0.00183975
1,1,0,5,0,9.41867,-0.742721,-4.98665,0.00183975
1,1,0,5,0,9.4187,-0.742775,-4.98665,0.00183975
1,1,0,5,0,9.41856,-0.742924,-4.98665,0.00183975
1,1,0,5,0,9.41707,-0.743168,-4.98665,0.00183975
1,1,0,5,0,9.416,-0.7432,-4.98665,0.00183975
1,1,0,5,0,9.41528,-0.743087,-4.98665,0.00183975
1,1,0,5,0,9.4152,-0.742991,-4.98665,0.00183975
1,1,0,5,0,9.41628,-0.742852,-4.98665,0.00183975
1,1,0,5,0,9.41767,-0.742778,-4.98665,0.00183975
1,1,0,5,0,9.41857,-0.742809,-4.98665,0.00183975
1,1,0,5,0,9.4189,-0.742792,-4.98665,0.00183975
1,1,0,5,0,9.41794,-0.742811,-4.98665,0.00183975
1,1,0,5,0,9.41692,-0.742896,-4.98665,0.00183975
1,1,0,5,0,9.41532,-0.742972,-4.98665,0.00183975
1,1,0,5,0,9.41384,-0.743026,-4.98665,0.00183975
1,1,0,5,0,9.41377,-0.742976,-4.98665,0.00183975
1,1,0,5,0,9.41432,-0.742876,-4.98665,0.00183975
1,1,0,5,0,9.41423,-0.74281,-4.98665,0.00183975
1,1,0,5,0,9.41456,-0.742819,-4.98665,0.00183975
1,1,0,5,0,9.41455,-0.742904,-4.98665,0.00183975
1,1,0,5,0,9.41483,-0.742929,-4.98665,0.00183975
