Mode,Dof,ControlType,PointOfInterest,Cycle,Fn,Ft,deltaN,deltaN
1,1,0,5,0,9.38982,-0.742362,-13.5814,0.000735901
1,1,0,5,0,9.38944,-0.74239,-13.5814,0.000735901
1,1,0,5,0,9.38793,-0.74251,-13.5814,0.000735901
1,1,0,5,0,9.38802,-0.742482,-13.5814,0.000735901
1,1,0,5,0,9.38817,-0.74252,-13.5814,0.000735901
1,1,0,5,0,9.38827,-0.742481,-13.5814,0.000735901
1,1,0,5,0,9.38946,-0.742313,-13.5814,0.000735901
1,1,0,5,0,9.38963,-0.742275,-13.5814,0.000735901
1,1,0,5,0,9.38938,-0.742281,-13.5814,0.000735901
1,1,0,5,0,9.38941,-0.742336,-13.5814,0.000735901
1,1,0,5,0,9.38911,-0.742453,-13.5814,0.000735901
1,1,0,5,0,9.38918,-0.742505,-13.5814,0.000735901
1,1,0,5,0,9.39012,-0.742422,-13.5814,0.000735901
1,1,0,5,0,9.39024,-0.742324,-13.5814,0.000735901
1,1,0,5,0,9.39045,-0.742244,-13.5814,0.000735901
1,1,0,5,0,9.3914,-0.742197,-13.5814,0.000735901
1,1,0,5,0,9.39094,-0.742245,-13.5814,0.000735901
1,1,0,5,0,9.3909,-0.742312,-13.5814,0.000735901
1,1,0,5,0,9.3912,-0.742317,-13.5814,0.000735901
1,1,0,5,0,9.39094,-0.742248,-13.5814,0.000735901
1,1,0,5,0,9.3895,-0.742306,-13.5814,0.000735901
1,1,0,5,0,9.38856,-0.742337,-13.5814,0.000735901
1,1,0,5,0,9.38858,-0.74228,-13.5814,0.000735901
1,1,0,5,0,9.38844,-0.742376,-13.5814,0.000735901
1,1,0,5,0,9.38829,-0.742484,-13.5814,0.000735901
1,1,0,5,0,9.38837,-0.742365,-13.5814,0.000735901
1,1,0,5,0,9.38859,-0.742351,-13.5814,0.000735901
1,1,0,5,0,9.38863,-0.742311,-13.5814,0.000735901
1,1,0,5,0,9.38788,-0.742211,-13.5814,0.000735901
1,1,0,5,0,9.38757,-0.742286,-13.5814,0.000735901
1,1,0,5,0,9.38728,-0.742391,-13.5814,0.000735901
1,1,0,5,0,9.3862,-0.742489,-13.5814,0.000735901
1,1,0,5,0,9.3855,-0.74266,-13.5814,0.000735901
1,1,0,5,0,9.38649,-0.742676,-13.5814,0.000735901
1,1,0,5,0,9.38809,-0.742538,-13.5814,0.000735901
1,1,0,5,0,9.38942,-0.742528,-13.5814,0.000735901
1,1,0,5,0,9.3897,-0.742481,-13.5814,0.000735901
1,1,0,5,0,9.38801,-0.742439,-13.5814,0.000735901
1,1,0,5,0,9.38731,-0.742456,-13.5814,0.000735901
1,1,0,5,0,9.38697,-0.74251,-13.5814,0.000735901
1,1,0,5,0,9.38751,-0.742407,-13.5814,0.000735901
1,1,0,5,0,9.38933,-0.742287,-13.5814,0.000735901
1,1,0,5,0,9.39042,-0.742302,-13.5814,0.000735901
