Mode,Dof,ControlType,PointOfInterest,Cycle,Fn,Ft,deltaN,deltaN
1,1,0,5,0,5.01404,-0.396352,-5.00026,0.000183975
1,1,0,5,0,9.40404,-0.743343,-5.00026,0.000183975
1,1,0,5,0,9.40234,-0.743421,-5.00026,0.000183975
1,1,0,5,0,9.40214,-0.743513,-5.00026,0.000183975
1,1,0,5,0,9.40362,-0.743388,-5.00026,0.000183975
1,1,0,5,0,9.40444,-0.743347,-5.00026,0.000183975
1,1,0,5,0,9.40482,-0.743368,-5.00026,0.000183975
1,1,0,5,0,9.40545,-0.743351,-5.00026,0.000183975
1,1,0,5,0,9.40495,-0.74342,-5.00026,0.000183975
1,1,0,5,0,9.40345,-0.743551,-5.00026,0.000183975
1,1,0,5,0,9.40266,-0.743558,-5.00026,0.000183975
1,1,0,5,0,9.40252,-0.743514,-5.00026,0.000183975
1,1,0,5,0,9.40372,-0.743432,-5.00026,0.000183975
1,1,0,5,0,9.40437,-0.743402,-5.00026,0.000183975
1,1,0,5,0,9.40461,-0.743401,-5.00026,0.000183975
1,1,0,5,0,9.40471,-0.743343,-5.00026,0.000183975
1,1,0,5,0,9.40363,-0.743473,-5.00026,0.000183975
1,1,0,5,0,9.40297,-0.743545,-5.00026,0.000183975
1,1,0,5,0,9.40394,-0.743484,-5.00026,0.000183975
1,1,0,5,0,9.40424,-0.743538,-5.00026,0.000183975
1,1,0,5,0,9.40419,-0.743566,-5.00026,0.000183975
1,1,0,5,0,9.4037,-0.743402,-5.00026,0.000183975
1,1,0,5,0,9.40322,-0.743368,-5.00026,0.000183975
1,1,0,5,0,9.40316,-0.743379,-5.00026,0.000183975
1,1,0,5,0,9.40297,-0.74337,-5.00026,0.000183975
1,1,0,5,0,9.40291,-0.743441,-5.00026,0.000183975
1,1,0,5,0,9.40341,-0.743594,-5.00026,0.000183975
1,1,0,5,0,9.4032,-0.743572,-5.00026,0.000183975
1,1,0,5,0,9.40396,-0.743535,-5.00026,0.000183975
1,1,0,5,0,9.40471,-0.743512,-5.00026,0.000183975
1,1,0,5,0,9.40477,-0.74341,-5.00026,0.000183975
1,1,0,5,0,9.40432,-0.743416,-5.00026,0.000183975
1,1,0,5,0,9.40369,-0.743443,-5.00026,0.000183975
1,1,0,5,0,9.40403,-0.743469,-5.00026,0.000183975
1,1,0,5,0,9.40473,-0.743481,-5.00026,0.000183975
1,1,0,5,0,9.40458,-0.743512,-5.00026,0.000183975
1,1,0,5,0,9.40422,-0.743545,-5.00026,0.000183975
1,1,0,5,0,9.40319,-0.743543,-5.00026,0.000183975
1,1,0,5,0,9.40208,-0.743525,-5.00026,0.000183975
1,1,0,5,0,9.40236,-0.743422,-5.00026,0.000183975
1,1,0,5,0,9.40404,-0.743249,-5.00026,0.000183975
1,1,0,5,0,9.40421,-0.743263,-5.00026,0.000183975
1,1,0,5,0,9.40464,-0.743351,-5.00026,0.000183975
1,1,0,5,0,9.40464,-0.743502,-5.00026,0.000183975
1,1,0,5,0,9.40335,-0.743656,-5.00026,0.000183975
1,1,0,5,0,9.4031,-0.743656,-5.00026,0.000183975
1,1,0,5,0,9.40401,-0.743537,-5.00026,0.000183975
1,1,0,5,0,9.40531,-0.743393,-5.00026,0.000183975
1,1,0,5,0,9.40685,-0.743284,-5.00026,0.000183975
1,1,0,5,0,9.40772,-0.743295,-5.00026,0.000183975
1,1,0,5,0,9.40788,-0.743366,-5.00026,0.000183975
1,1,0,5,0,9.40724,-0.743357,-5.00026,0.000183975
1,1,0,5,0,9.40558,-0.743426,-5.00026,0.000183975
1,1,0,5,0,9.4049,-0.743426,-5.00026,0.000183975
1,1,0,5,0,9.40393,-0.743457,-5.00026,0.000183975
1,1,0,5,0,9.40357,-0.743467,-5.00026,0.000183975
1,1,0,5,0,9.40386,-0.743519,-5.00026,0.000183975
1,1,0,5,0,9.40522,-0.74357,-5.00026,0.000183975
1,1,0,5,0,9.40591,-0.743554,-5.00026,0.000183975
1,1,0,5,0,9.40641,-0.743553,-5.00026,0.000183975
1,1,0,5,0,9.40661,-0.743595,-5.00026,0.000183975
1,1,0,5,0,9.40568,-0.7436,-5.00026,0.000183975
1,1,0,5,0,9.40455,-0.74358,-5.00026,0.000183975
1,1,0,5,0,9.40454,-0.743587,-5.00026,0.000183975
1,1,0,5,0,9.40527,-0.74356,-5.00026,0.000183975
1,1,0,5,0,9.40525,-0.743508,-5.00026,0.000183975
1,1,0,5,0,9.40583,-0.743605,-5.00026,0.000183975
1,1,0,5,0,9.40581,-0.743658,-5.00026,0.000183975
1,1,0,5,0,9.40536,-0.743653,-5.00026,0.000183975
1,1,0,5,0,9.40639,-0.74357,-5.00026,0.000183975
1,1,0,5,0,9.40766,-0.743391,-5.00026,0.000183975
1,1,0,5,0,9.408,-0.743229,-5.00026,0.000183975
1,1,0,5,0,9.40807,-0.743246,-5.00026,0.000183975
1,1,0,5,0,9.4076,-0.743284,-5.00026,0.000183975
1,1,0,5,0,9.40714,-0.743376,-5.00026,0.000183975
1,1,0,5,0,9.40672,-0.743479,-5.00026,0.000183975
1,1,0,5,0,9.40647,-0.743522,-5.00026,0.000183975
1,1,0,5,0,9.40622,-0.743562,-5.00026,0.000183975
1,1,0,5,0,9.40631,-0.743513,-5.00026,0.000183975
1,1,0,5,0,9.40672,-0.743424,-5.00026,0.000183975
1,1,0,5,0,9.40668,-0.743394,-5.00026,0.000183975
1,1,0,5,0,9.40671,-0.74331,-5.00026,0.000183975
1,1,0,5,0,9.40639,-0.743286,-5.00026,0.000183975
1,1,0,5,0,9.4055,-0.743425,-5.00026,0.000183975
1,1,0,5,0,9.4056,-0.743429,-5.00026,0.000183975
1,1,0,5,0,9.40666,-0.743419,-5.00026,0.000183975
1,1,0,5,0,9.40763,-0.743437,-5.00026,0.000183975
1,1,0,5,0,9.40804,-0.743419,-5.00026,0.000183975
1,1,0,5,0,9.40756,-0.743494,-5.00026,0.000183975
1,1,0,5,0,9.40716,-0.743505,-5.00026,0.000183975
1,1,0,5,0,9.40705,-0.743508,-5.00026,0.000183975
1,1,0,5,0,9.40705,-0.743488,-5.00026,0.000183975
1,1,0,5,0,9.40714,-0.743428,-5.00026,0.000183975
1,1,0,5,0,9.40736,-0.743424,-5.00026,0.000183975
1,1,0,5,0,9.40619,-0.743455,-5.00026,0.000183975
1,1,0,5,0,9.40569,-0.743486,-5.00026,0.000183975
1,1,0,5,0,9.40508,-0.743491,-5.00026,0.000183975
1,1,0,5,0,9.40503,-0.743485,-5.00026,0.000183975
1,1,0,5,0,9.40481,-0.743472,-5.00026,0.000183975
1,1,0,5,0,9.40526,-0.743482,-5.00026,0.000183975
1,1,0,5,0,9.40647,-0.743476,-5.00026,0.000183975
1,1,0,5,0,9.40669,-0.743621,-5.00026,0.000183975
1,1,0,5,0,9.40673,-0.743694,-5.00026,0.000183975
1,1,0,5,0,9.40637,-0.743791,-5.00026,0.000183975
1,1,0,5,0,9.40522,-0.743855,-5.00026,0.000183975
1,1,0,5,0,9.40479,-0.74368,-5.00026,0.000183975
1,1,0,5,0,9.40485,-0.743516,-5.00026,0.000183975
1,1,0,5,0,9.40649,-0.743313,-5.00026,0.000183975
1,1,0,5,0,9.40771,-0.743118,-5.00026,0.000183975
1,1,0,5,0,9.40784,-0.743105,-5.00026,0.000183975
1,1,0,5,0,9.40792,-0.743334,-5.00026,0.000183975
1,1,0,5,0,9.40728,-0.743465,-5.00026,0.000183975
1,1,0,5,0,9.40668,-0.743562,-5.00026,0.000183975
1,1,0,5,0,9.40679,-0.743678,-5.00026,0.000183975
1,1,0,5,0,9.40699,-0.743637,-5.00026,0.000183975
1,1,0,5,0,9.40699,-0.743542,-5.00026,0.000183975
1,1,0,5,0,9.40739,-0.743552,-5.00026,0.000183975
1,1,0,5,0,9.40804,-0.743534,-5.00026,0.000183975
1,1,0,5,0,9.40917,-0.743402,-5.00026,0.000183975
1,1,0,5,0,9.40938,-0.743468,-5.00026,0.000183975
1,1,0,5,0,9.40948,-0.743439,-5.00026,0.000183975
1,1,0,5,0,9.40869,-0.743453,-5.00026,0.000183975
1,1,0,5,0,9.40866,-0.743474,-5.00026,0.000183975
1,1,0,5,0,9.40896,-0.743395,-5.00026,0.000183975
1,1,0,5,0,9.40898,-0.743418,-5.00026,0.000183975
1,1,0,5,0,9.40874,-0.743449,-5.00026,0.000183975
1,1,0,5,0,9.40831,-0.743493,-5.00026,0.000183975
1,1,0,5,0,9.40779,-0.743541,-5.00026,0.000183975
1,1,0,5,0,9.40842,-0.743561,-5.00026,0.000183975
1,1,0,5,0,9.40964,-0.743449,-5.00026,0.000183975
1,1,0,5,0,9.40971,-0.743421,-5.00026,0.000183975
1,1,0,5,0,9.40884,-0.743357,-5.00026,0.000183975
1,1,0,5,0,9.40736,-0.743399,-5.00026,0.000183975
1,1,0,5,0,9.40588,-0.743406,-5.00026,0.000183975
1,1,0,5,0,9.406,-0.743448,-5.00026,0.000183975
1,1,0,5,0,9.40709,-0.743373,-5.00026,0.000183975
1,1,0,5,0,9.40732,-0.74338,-5.00026,0.000183975
1,1,0,5,0,9.40788,-0.743415,-5.00026,0.000183975
1,1,0,5,0,9.40763,-0.743468,-5.00026,0.000183975
1,1,0,5,0,9.40645,-0.743557,-5.00026,0.000183975
1,1,0,5,0,9.40558,-0.743695,-5.00026,0.000183975
1,1,0,5,0,9.40546,-0.743754,-5.00026,0.000183975
1,1,0,5,0,9.40559,-0.743644,-5.00026,0.000183975
1,1,0,5,0,9.40735,-0.743535,-5.00026,0.000183975
1,1,0,5,0,9.40858,-0.743441,-5.00026,0.000183975
1,1,0,5,0,9.40897,-0.743344,-5.00026,0.000183975
1,1,0,5,0,9.40915,-0.74331,-5.00026,0.000183975
1,1,0,5,0,9.40849,-0.743481,-5.00026,0.000183975
1,1,0,5,0,9.40745,-0.743589,-5.00026,0.000183975
1,1,0,5,0,9.40822,-0.743587,-5.00026,0.000183975
1,1,0,5,0,9.40887,-0.743602,-5.00026,0.000183975
1,1,0,5,0,9.40917,-0.743546,-5.00026,0.000183975
1,1,0,5,0,9.40902,-0.743496,-5.00026,0.000183975
1,1,0,5,0,9.40871,-0.743575,-5.00026,0.000183975
1,1,0,5,0,9.40874,-0.743614,-5.00026,0.000183975
1,1,0,5,0,9.40889,-0.743582,-5.00026,0.000183975
1,1,0,5,0,9.40906,-0.743588,-5.00026,0.000183975
1,1,0,5,0,9.40886,-0.743508,-5.00026,0.000183975
1,1,0,5,0,9.40818,-0.743461,0,0
1,1,0,5,0,9.40779,-0.743441,0,0
1,1,0,5,0,8.27869,-0.654283,0,0
1,1,0,5,0,6.02131,-0.475966,0,0
1,1,0,5,0,3.76379,-0.297545,0,0
1,1,0,5,0,1.88271,-0.148787,0,0
1,1,0,5,0,0.00280543,-8.47301e-05,0,0
1,1,0,5,0,0.0018012,-8.03749e-05,0,0
1,1,0,5,0,0.00164675,-5.40245e-05,0,0
1,1,0,5,0,0.00208526,-0.000150385,0,0
1,1,0,5,0,0.00224476,-0.000222596,0,0
1,1,0,5,0,0.00303856,-6.23947e-05,0,0
1,1,0,5,0,0.00378068,-0.00011309,0,0
1,1,0,5,0,0.00326759,-0.000127414,0,0
1,1,0,5,0,0.00254388,-0.000186762,0,0
1,1,0,5,0,0.00318951,-0.000195528,0,0
1,1,0,5,0,0.00364643,-5.31861e-05,0,0
1,1,0,5,0,0.00427146,2.602e-05,0,0
1,1,0,5,0,0.00491477,0.000130005,0,0
1,1,0,5,0,0.00429052,0.000157762,0,0
1,1,0,5,0,0.00278774,9.93736e-05,0,0
1,1,0,5,0,0.00231505,8.39613e-05,0,0
1,1,0,5,0,0.00238451,0.000119638,0,0
1,1,0,5,0,0.00231572,0.000116335,0,0
1,1,0,5,0,0.00232382,-8.0572e-06,0,0
1,1,0,5,0,0.00253535,-6.77889e-05,0,0
