Mode,Dof,ControlType,StairNum,Trial,Dir,lastSlope,CrossNum,Stimulus1,Stimulus2,Standard,Comparison,Correct,Answer,Greater,NormF1,ShearF1,NormP1,ShearP1,NormF2,ShearF2,NormP2,ShearP2
1,1,0,0,1,2,2,0,0,1.8,1,2,2,2,1,0.5696,0.0126293,-0.022445,-7.35901e-06,1.41678,0.0210588,1.76836,3.67951e-06
2,1,0,0,2,1,1,0,1.5,0,2,1,1,2,0,1.07693,0.00825195,1.48575,0,0.786391,0.0279391,0.164389,0
2,1,0,0,3,0,0,1,0,1.8,1,2,2,2,1,0.807585,0.0271621,0.16429,0,1.26508,0.0124579,1.78642,0
0,1,0,1,1,2,2,0,0,2.4,1,2,2,2,1,0.529501,0.0088568,-0.014718,3.67951e-06,1.57615,0.0142913,2.37605,3.67951e-06
2,1,0,1,2,1,1,0,2.1,0,2,1,1,2,0,1.38114,0.0134751,2.07625,7.72696e-05,0.793575,0.0299904,0.175093,5.88721e-05
2,1,0,1,3,0,0,1,2.4,0,2,1,1,2,0,1.53144,0.0137846,2.38484,3.67951e-06,0.947248,0.0413098,0.171447,4.41541e-05
2,1,0,1,4,0,0,1,2.7,0,2,1,1,2,0,1.71468,0.0178322,2.67437,3.67951e-06,0.757412,0.0296856,0.17956,6.25516e-05
2,1,0,1,5,0,0,1,0,3,1,2,2,2,1,0.840295,0.0308967,0.17588,3.67951e-06,1.85638,0.0184344,2.97854,0
