Mode,Dof,ControlType,StairNum,Trial,Dir,lastSlope,CrossNum,Stimulus1,Stimulus2,Standard,Comparison,Correct,Answer,Greater,NormF1,ShearF1,NormP1,ShearP1,NormF2,ShearF2,NormP2,ShearP2
2,1,1,0,1,2,2,0,0,3.6,1,2,2,2,1,0.680302,0.0246345,-1.4526,0,3.57945,0.0974818,6.05994,0.000183975
2,1,1,0,2,1,1,0,0,3.5,1,2,2,2,1,0.727354,0.0116732,-0.736313,0.000183975,3.51071,0.0838028,6.05007,5.51926e-05
2,1,1,0,3,1,1,0,3.4,0,2,1,1,1,1,3.47134,0.0615366,6.01587,0,0.695297,-0.00877093,-1.07685,0
2,1,1,0,4,1,1,0,0,3.3,1,2,2,2,1,0.727673,-0.0183999,-1.36685,0,3.37128,0.0597616,5.82003,0
