Mode,Dof,ControlType,PointOfInterest,Cycle,Fn,Ft,deltaN,deltaN
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
1,1,0,5,0,0,0,0,0
