Time,Mode,Dof,ControlType,PointOfInterest,Cycle,Fn,Ft,deltaN,deltaN,eeRadius,CombinedE,ContactRadius,PlanarA,SphericalA,MeanStress,MeanStrain,ElasticStrainEnergy_N,YoungModulusNS,PoissonNS,CouplingBetaNS,ShearModulusNS,ComplianceN_NS,ComplianceT_NS
0.018213,1,1,0,5,0,5.4116,-0.445562,-13.513,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2547.14,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00199,1.49901,-nan(ind),-nan(ind),0
0.081448,1,1,0,5,0,8.57045,-0.705994,-13.513,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2547.14,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00199,1.49901,-nan(ind),-nan(ind),0
0.088604,1,1,0,5,0,8.57024,-0.705999,-13.513,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2547.14,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00199,1.49901,-nan(ind),-nan(ind),0
0.100533,1,1,0,5,0,8.57036,-0.705949,-13.513,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2547.14,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00199,1.49901,-nan(ind),-nan(ind),0
0.111547,1,1,0,5,0,8.57041,-0.706005,-13.513,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2547.14,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00199,1.49901,-nan(ind),-nan(ind),0
0.122386,1,1,0,5,0,8.57029,-0.706027,-13.513,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2547.14,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00199,1.49901,-nan(ind),-nan(ind),0
0.13437,1,1,0,5,0,8.56986,-0.706002,-13.513,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2547.14,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00199,1.49901,-nan(ind),-nan(ind),0
0.146321,1,1,0,5,0,8.56982,-0.705992,-13.513,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2547.14,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00199,1.49901,-nan(ind),-nan(ind),0
0.158472,1,1,0,5,0,8.56964,-0.706004,-13.513,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2547.14,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00199,1.49901,-nan(ind),-nan(ind),0
0.169536,1,1,0,5,0,8.57003,-0.706025,-13.513,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2547.14,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00199,1.49901,-nan(ind),-nan(ind),0
0.181313,1,1,0,5,0,8.57038,-0.706046,-13.513,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2547.14,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00199,1.49901,-nan(ind),-nan(ind),0
0.192273,1,1,0,5,0,8.57053,-0.706044,-13.513,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2547.14,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00199,1.49901,-nan(ind),-nan(ind),0
0.203877,1,1,0,5,0,8.57072,-0.706038,-13.513,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2547.14,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00199,1.49901,-nan(ind),-nan(ind),0
0.215072,1,1,0,5,0,8.57083,-0.705964,-13.513,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2547.14,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00199,1.49901,-nan(ind),-nan(ind),0
0.226397,1,1,0,5,0,8.56988,-0.706037,-13.513,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-2547.14,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00199,1.49901,-nan(ind),-nan(ind),0
