Time,Mode,Dof,ControlType,PointOfInterest,Cycle,Fn,Ft,deltaN,deltaN,eeRadius,CombinedE,ContactRadius,PlanarA,SphericalA,MeanStress,MeanStrain,ElasticStrainEnergy_N,YoungModulusNS,PoissonNS,CouplingBetaNS,ShearModulusNS,ComplianceN_NS,ComplianceT_NS,CentroidX,CentroidY,CentroidZ
43.4726,2,1,0,2,1,0.853739,0.0112843,0.539783,0.00275963,30,0.294779,4.02411,50.8734,101.747,0.0167816,0.0268274,0.349152,0.277392,0.242863,0.339618,0.111594,0.978215,0,-1.36523,-1.14099,29.9472
69.8708,2,1,0,1,1,4.83925,0.00148365,13.6559,0.00404746,30,0.013131,20.2405,1287.04,2574.08,0.00375998,0.134937,0.790623,0.00490094,0.791685,-1.40021,0.00136769,10.9122,0,-1.01687,-0.655028,29.9756
89.0144,2,1,0,2,1,1.19887,0.0367715,4.32287,0.00441541,30,0.0182647,11.388,407.421,814.841,0.00294257,0.0759198,0.0962722,-0.0741756,2.2497,1.4001,-0.0114127,0.480307,0,-1.33356,-1.14854,29.9483
108.045,2,1,0,0,1,0.609343,0.0458209,-5.00008,0.00459938,30,-nan(ind),-nan(ind),-nan(ind),-942.493,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.93162,1.5367,-nan(ind),-nan(ind),0,-1.44056,-1.23572,29.9399
