Time,Mode,Dof,ControlType,PointOfInterest,Cycle,Fn,Ft,deltaN,deltaN,eeRadius,CombinedE,ContactRadius,PlanarA,SphericalA,MeanStress,MeanStrain,ElasticStrainEnergy_N,YoungModulusNS,PoissonNS,CouplingBetaNS,ShearModulusNS,ComplianceN_NS,ComplianceT_NS,CentroidX,CentroidY,CentroidZ
0.013094,1,1,0,5,0,4.59589,-0.384259,-5.03356,0.000183975,30,-nan(ind),-nan(ind),-nan(ind),-948.804,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0,-1.33749,-1.2553,29.9439
0.069647,1,1,0,5,0,8.61767,-0.721549,-5.03356,0.000183975,30,-nan(ind),-nan(ind),-nan(ind),-948.804,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0,-1.34626,-1.24387,29.944
0.079469,1,1,0,5,0,8.61729,-0.721502,-5.03356,0.000183975,30,-nan(ind),-nan(ind),-nan(ind),-948.804,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0,-1.34077,-1.25276,29.9438
0.089951,1,1,0,5,0,8.61816,-0.721527,-5.03356,0.000183975,30,-nan(ind),-nan(ind),-nan(ind),-948.804,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0,-1.34743,-1.25007,29.9436
0.101955,1,1,0,5,0,8.61899,-0.721449,-5.03356,0.000183975,30,-nan(ind),-nan(ind),-nan(ind),-948.804,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0,-1.34325,-1.25051,29.9438
0.113117,1,1,0,5,0,8.61875,-0.721459,-5.03356,0.000183975,30,-nan(ind),-nan(ind),-nan(ind),-948.804,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0,-1.34684,-1.25136,29.9436
0.124014,1,1,0,5,0,8.61868,-0.721351,-5.03356,0.000183975,30,-nan(ind),-nan(ind),-nan(ind),-948.804,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0,-1.34857,-1.25163,29.9435
0.13493,1,1,0,5,0,8.62114,-0.721203,-5.03356,0.000183975,30,-nan(ind),-nan(ind),-nan(ind),-948.804,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0,-1.3465,-1.24567,29.9439
0.146836,1,1,0,5,0,8.6206,-0.72127,-5.03356,0.000183975,30,-nan(ind),-nan(ind),-nan(ind),-948.804,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0,-1.34239,-1.25452,29.9437
0.159459,1,1,0,5,0,8.61863,-0.721534,-5.03356,0.000183975,30,-nan(ind),-nan(ind),-nan(ind),-948.804,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0,-1.3488,-1.24903,29.9436
0.169737,1,1,0,5,0,8.61838,-0.721638,-5.03356,0.000183975,30,-nan(ind),-nan(ind),-nan(ind),-948.804,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0,-1.34243,-1.24119,29.9442
0.18109,1,1,0,5,0,8.6206,-0.721475,-5.03356,0.000183975,30,-nan(ind),-nan(ind),-nan(ind),-948.804,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00263,1.49869,-nan(ind),-nan(ind),0,-1.34118,-1.24508,29.9441
