Time,Mode,Dof,ControlType,PointOfInterest,Cycle,Fn,Ft,deltaN,deltaN,eeRadius,CombinedE,ContactRadius,PlanarA,SphericalA,MeanStress,MeanStrain,ElasticStrainEnergy_N,YoungModulusNS,PoissonNS,CouplingBetaNS,ShearModulusNS,ComplianceN_NS,ComplianceT_NS
0.014776,1,1,0,5,0,4.59713,-0.380528,-7.93412,0,30,-nan(ind),-nan(ind),-nan(ind),-1495.55,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.069033,1,1,0,5,0,8.61475,-0.714406,-7.93412,0,30,-nan(ind),-nan(ind),-nan(ind),-1495.55,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.081373,1,1,0,5,0,8.61579,-0.714305,-7.93412,0,30,-nan(ind),-nan(ind),-nan(ind),-1495.55,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.091611,1,1,0,5,0,8.61671,-0.714315,-7.93412,0,30,-nan(ind),-nan(ind),-nan(ind),-1495.55,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.102174,1,1,0,5,0,8.61794,-0.71425,-7.93412,0,30,-nan(ind),-nan(ind),-nan(ind),-1495.55,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.113215,1,1,0,5,0,8.61848,-0.714192,-7.93412,0,30,-nan(ind),-nan(ind),-nan(ind),-1495.55,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.125276,1,1,0,5,0,8.61818,-0.714223,-7.93412,0,30,-nan(ind),-nan(ind),-nan(ind),-1495.55,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.136126,1,1,0,5,0,8.61745,-0.714191,-7.93412,0,30,-nan(ind),-nan(ind),-nan(ind),-1495.55,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.147194,1,1,0,5,0,8.6162,-0.714223,-7.93412,0,30,-nan(ind),-nan(ind),-nan(ind),-1495.55,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.158395,1,1,0,5,0,8.61515,-0.714296,-7.93412,0,30,-nan(ind),-nan(ind),-nan(ind),-1495.55,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.169008,1,1,0,5,0,8.61486,-0.714248,-7.93412,0,30,-nan(ind),-nan(ind),-nan(ind),-1495.55,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
