Time,Mode,Dof,ControlType,PointOfInterest,Cycle,Fn,Ft,deltaN,deltaN,eeRadius,CombinedE,ContactRadius,PlanarA,SphericalA,MeanStress,MeanStrain,ElasticStrainEnergy_N,YoungModulusNS,PoissonNS,CouplingBetaNS,ShearModulusNS,ComplianceN_NS,ComplianceT_NS
0.01512,1,1,0,5,0,4.84085,-0.401157,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99437,1.50283,-nan(ind),-nan(ind),0
0.078798,1,1,0,5,0,8.60777,-0.713519,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.08842,1,1,0,5,0,8.60791,-0.713611,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.100334,1,1,0,5,0,8.60763,-0.713666,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.111329,1,1,0,5,0,8.60788,-0.713657,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.122293,1,1,0,5,0,8.60812,-0.713545,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.133313,1,1,0,5,0,8.60821,-0.71345,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.144241,1,1,0,5,0,8.60839,-0.713414,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.155211,1,1,0,5,0,8.60855,-0.71346,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.166241,1,1,0,5,0,8.60826,-0.713551,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.17822,1,1,0,5,0,8.60823,-0.713584,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.189191,1,1,0,5,0,8.60799,-0.71353,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.201283,1,1,0,5,0,8.60782,-0.713439,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.213047,1,1,0,5,0,8.60738,-0.713288,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99437,1.50283,-nan(ind),-nan(ind),0
0.224013,1,1,0,5,0,8.60703,-0.713253,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99437,1.50283,-nan(ind),-nan(ind),0
0.235073,1,1,0,5,0,8.60726,-0.713318,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.246011,1,1,0,5,0,8.60753,-0.713353,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.25692,1,1,0,5,0,8.60789,-0.713393,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.267883,1,1,0,5,0,8.60844,-0.713366,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99437,1.50283,-nan(ind),-nan(ind),0
0.278948,1,1,0,5,0,8.60845,-0.713357,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99437,1.50283,-nan(ind),-nan(ind),0
0.289853,1,1,0,5,0,8.60843,-0.713379,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99437,1.50283,-nan(ind),-nan(ind),0
0.300957,1,1,0,5,0,8.60821,-0.713361,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99437,1.50283,-nan(ind),-nan(ind),0
0.313599,1,1,0,5,0,8.60795,-0.713479,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.323768,1,1,0,5,0,8.60791,-0.713519,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.335186,1,1,0,5,0,8.60816,-0.713578,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.346744,1,1,0,5,0,8.60804,-0.713563,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.357828,1,1,0,5,0,8.6083,-0.713463,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.370816,1,1,0,5,0,8.60824,-0.713561,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.381082,1,1,0,5,0,8.60809,-0.713457,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.392212,1,1,0,5,0,8.60817,-0.71342,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.403252,1,1,0,5,0,8.60804,-0.713432,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.414182,1,1,0,5,0,8.60846,-0.713302,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99437,1.50283,-nan(ind),-nan(ind),0
0.425237,1,1,0,5,0,8.60845,-0.713254,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99437,1.50283,-nan(ind),-nan(ind),0
0.436105,1,1,0,5,0,8.6082,-0.71335,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99437,1.50283,-nan(ind),-nan(ind),0
0.446815,1,1,0,5,0,8.60828,-0.713492,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.457861,1,1,0,5,0,8.60786,-0.713654,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.468849,1,1,0,5,0,8.60738,-0.713716,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.481097,1,1,0,5,0,8.6077,-0.713671,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.492158,1,1,0,5,0,8.60741,-0.71354,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.502475,1,1,0,5,0,8.60721,-0.713499,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.515163,1,1,0,5,0,8.60739,-0.713525,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.525981,1,1,0,5,0,8.60745,-0.713563,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.536511,1,1,0,5,0,8.60715,-0.713684,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.547782,1,1,0,5,0,8.60724,-0.713684,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.55855,1,1,0,5,0,8.60687,-0.713563,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.569389,1,1,0,5,0,8.60654,-0.713561,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
0.581454,1,1,0,5,0,8.60636,-0.713573,-4.7094,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-887.701,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99438,1.50283,-nan(ind),-nan(ind),0
