Time,Mode,Dof,ControlType,PointOfInterest,Cycle,Fn,Ft,deltaN,deltaN,eeRadius,CombinedE,ContactRadius,PlanarA,SphericalA,MeanStress,MeanStrain,ElasticStrainEnergy_N,YoungModulusNS,PoissonNS,CouplingBetaNS,ShearModulusNS,ComplianceN_NS,ComplianceT_NS
34.0639,2,1,0,2,1,0.905674,0.00553542,0.371446,0.00239168,30,0.547809,3.33817,35.008,70.0159,0.0258705,0.0222545,0.582345,0.186559,0.812062,-1.66046,0.051477,1.72827,0
60.5163,2,1,0,3,1,4.86338,-0.0551468,13.5076,0.00239168,30,0.0134143,20.1303,1273.07,2546.13,0.00382021,0.134202,0.808633,-0.035745,1.91434,1.54684,-0.00613261,-0.173477,0
90.5222,2,1,0,4,1,4.79481,-0.0539362,16.3756,0.00257565,30,0.00990774,22.1646,1543.37,3086.73,0.00310672,0.147764,0.645273,-0.0267151,1.9226,1.54195,-0.00457044,-0.191015,0
115.133,2,1,0,2,1,1.07061,0.0164192,4.25682,0.00275963,30,0.0166918,11.3006,401.196,802.392,0.00266854,0.0753376,0.0750807,-0.0746913,2.33981,1.37319,-0.011182,0.672294,0
134.031,2,1,0,0,1,0.648948,0.0418632,-5.00008,0.00312758,30,-nan(ind),-nan(ind),-nan(ind),-942.493,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.94502,1.52909,-nan(ind),-nan(ind),0
